Mes-Anos,VolMedDiarioRmilhao,Variacao%,USmilhao,Variacao%
202601,32282.634059509655,0.00,6172.469753830645,0.00
202602,32800.353952067855,1.60,6327.717021388196,2.52
20260211,32425.453340215366,33.05,6255.392649937373,41.23
2025,24370.537660044903,1.30,4429.074160374546,14.00
2024,24057.777182545811,-4.00,3885.111700425659,-24.95
2023,25060.539448889359,-16.03,5176.407049529952,-9.50
