Mes-Anos,VolavistaRmilhao,Termo,Opcoes,EmBloco,VolumeTotalRmilhao
202601,644900.524857672277,1862.793731321880,29861.437832708618,1310.558828000000,677935.315249702775
202602,250690.993425089297,526.643224600000,10491.167069841045,694.027897012500,262402.831616542842
2026f0211,895591.518282761574,2389.436955921880,40352.604902549663,2004.586725012500,940338.146866245617
2025,5858831.853355309215,22934.706518889670,195282.336752027100,15585.518385000000,6092634.415011225985
2024,5826472.922512038740,28706.684863900000,176750.319959060000,6572.145484000000,6038502.072818998740
2023,6025491.852861311140,28509.459531920000,160838.451213330000,174.019718000000,6215013.783324561140
