DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
2000-01-03,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.08,0.08,0.07,0.07,0.07,0.07,0.08,41,2324000000,181621.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-04,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,2.07,2.07,2.07,2.07,2.07,2.04,0.0,1,3000,6210.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,63
2000-01-04,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.08,0.08,0.06,0.06,0.06,0.05,0.06,68,4718700000,296939.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-05,02,TUPY11,10,TUPY,ON *SOF,0,R$,7.0,7.0,7.0,7.0,7.0,7.0,8.0,1,100000,700.0,0.0,0,9999-12-31,1000,0.0,BRTUPYA01OR2,144
2000-01-05,02,RCPR11,10,REAL CONS PA,PNE EJ,0,R$,1.8,1.8,1.8,1.8,1.8,1.8,0.0,1,1000,1800.0,0.0,0,9999-12-31,1,0.0,BRRCPRACNPE2,103
2000-01-05,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.06,0.07,0.05,0.05,0.07,0.06,0.07,64,5494300000,312848.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-06,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.06,0.08,0.06,0.06,0.07,0.07,0.08,77,4141000000,287311.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-06,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,2.15,2.15,2.15,2.15,2.15,2.1,0.0,1,3000,6450.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,63
2000-01-07,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.08,0.08,0.07,0.07,0.07,0.06,0.07,33,3163600000,223473.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-10,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.07,0.08,0.07,0.07,0.07,0.06,0.07,49,2390700000,167359.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-10,02,CTNM11,10,COTEMINAS,PN *,0,R$,150.0,150.0,145.0,147.5,145.0,130.0,0.0,2,200000,29500.0,0.0,0,9999-12-31,1000,0.0,BRCTNMA01PR7,100
2000-01-11,02,CTNM11,10,COTEMINAS,PN *,0,R$,158.0,158.0,158.0,158.0,158.0,0.0,170.0,1,10000,1580.0,0.0,0,9999-12-31,1000,0.0,BRCTNMA01PR7,100
2000-01-11,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,2.14,2.2,2.14,2.17,2.2,2.1,0.0,2,6000,13020.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,63
2000-01-11,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.07,0.07,0.06,0.06,0.07,0.06,0.07,38,3750000000,236260.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-12,02,CTNM11,10,COTEMINAS,PN *,0,R$,162.0,168.0,162.0,165.19,168.0,0.0,0.0,11,750000,123899.4,0.0,0,9999-12-31,1000,0.0,BRCTNMA01PR7,100
2000-01-12,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.07,0.07,0.06,0.06,0.07,0.06,0.07,21,1541400000,100677.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-13,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.07,0.08,0.07,0.07,0.07,0.06,0.07,46,2919100000,204438.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-13,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,2.38,2.38,2.3,2.34,2.35,2.19,0.0,5,6000,14090.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,63
2000-01-14,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.07,0.08,0.07,0.07,0.07,0.06,0.08,40,4106400000,290448.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-17,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,2.4,2.4,2.4,2.4,2.4,2.3,0.0,1,2000,4800.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,63
2000-01-17,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.08,0.09,0.07,0.08,0.09,0.08,0.09,129,6860500000,549800.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-18,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.09,0.09,0.08,0.08,0.09,0.08,0.09,49,1499000000,129354.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-18,02,CTNM11,10,COTEMINAS,PN *,0,R$,168.0,171.0,168.0,169.5,171.0,0.0,173.0,2,400000,67800.0,0.0,0,9999-12-31,1000,0.0,BRCTNMA01PR7,100
2000-01-19,02,CTNM11,10,COTEMINAS,PN *,0,R$,178.0,178.0,178.0,178.0,178.0,0.0,173.0,1,10000,1780.0,0.0,0,9999-12-31,1000,0.0,BRCTNMA01PR7,100
2000-01-19,02,TMGR11,10,TELEMIG,PNE*,0,R$,38.99,38.99,38.99,38.99,38.99,25.0,39.0,2,400000,15596.0,0.0,0,9999-12-31,1000,0.0,BRTMGRACNPE6,224
2000-01-19,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.09,0.12,0.09,0.09,0.11,0.1,0.11,328,19671200000,1931904.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-20,02,TUPY11,10,TUPY,ON *SOF,0,R$,7.5,7.5,7.5,7.5,7.5,0.0,8.0,1,500000,3750.0,0.0,0,9999-12-31,1000,0.0,BRTUPYA01OR2,144
2000-01-20,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.11,0.12,0.1,0.11,0.11,0.1,0.11,190,6682600000,737308.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-21,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.11,0.12,0.11,0.11,0.11,0.11,0.12,78,4820500000,546843.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-24,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.11,0.13,0.11,0.12,0.12,0.11,0.12,130,5728900000,689038.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-26,02,CTNM11,10,COTEMINAS,PN *,0,R$,178.0,178.0,178.0,178.0,178.0,0.0,0.0,1,960000,170880.0,0.0,0,9999-12-31,1000,0.0,BRCTNMA01PR7,100
2000-01-26,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.12,0.15,0.12,0.13,0.14,0.14,0.15,232,10595900000,1387223.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-27,02,RCPR11,10,REAL CONS PA,PNE,0,R$,2.26,2.26,2.26,2.26,2.26,1.96,0.0,1,5000,11300.0,0.0,0,9999-12-31,1,0.0,BRRCPRACNPE2,103
2000-01-27,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.15,0.21,0.15,0.17,0.18,0.17,0.18,597,16787500000,3002100.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-28,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.18,0.19,0.14,0.16,0.17,0.16,0.17,280,11741900000,1910893.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-01-31,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.16,0.16,0.14,0.14,0.15,0.14,0.15,148,5404100000,810243.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-02-01,02,RCPR11,10,REAL CONS PA,PNE,0,R$,2.1,2.1,2.1,2.1,2.1,0.0,0.0,1,1000,2100.0,0.0,0,9999-12-31,1,0.0,BRRCPRACNPE2,103
2000-02-01,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.16,0.16,0.13,0.13,0.15,0.14,0.15,191,8113000000,1115234.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-02-02,02,CHAP11,10,CHAPECO,ON *P99,0,R$,0.14,0.15,0.13,0.13,0.13,0.13,0.14,127,5411400000,727629.0,0.0,0,9999-12-31,1000,0.0,BRCHAPA01OR5,101
2000-02-03,02,BRGE11,10,ALFA CONSORC,PNE EJ,0,R$,2.02,2.02,2.02,2.02,2.02,2.04,0.0,1,1000,2020.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,64
