DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
2002-01-02,02,RCSA11,10,RCSA,R11 EJ,0,R$,850.0,857.0,850.0,853.2,850.0,850.0,860.0,9,1210,1032378.0,0.0,0,9999-12-31,1,0.0,BRRCSACSA011,105
2002-01-02,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,86.51,86.51,86.51,86.51,86.51,86.51,0.0,1,10000,865.1,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,104
2002-01-03,02,RCSA11,10,RCSA,R11 EJ,0,R$,872.0,875.0,870.0,873.6,870.0,870.0,874.99,6,297,259462.0,0.0,0,9999-12-31,1,0.0,BRRCSACSA011,106
2002-01-04,02,RCSA11,10,RCSA,R11 EJ,0,R$,865.0,880.0,865.0,873.75,880.0,873.01,885.0,9,1000,873750.0,0.0,0,9999-12-31,1,0.0,BRRCSACSA011,106
2002-01-07,02,RCSA11,10,RCSA,R11 EJ,0,R$,870.0,885.0,870.0,881.82,885.0,880.0,898.99,11,1662,1465586.0,0.0,0,9999-12-31,1,0.0,BRRCSACSA011,106
2002-01-08,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,91.21,91.21,91.21,91.21,91.21,90.0,0.0,3,250000,22802.5,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,104
2002-01-08,02,RCSA11,10,RCSA,R11 EJ,0,R$,880.0,880.0,870.0,874.36,875.0,872.0,875.0,13,2216,1937595.0,0.0,0,9999-12-31,1,0.0,BRRCSACSA011,106
2002-01-09,02,RCSA11,10,RCSA,R11 EJ,0,R$,870.0,870.0,860.0,864.08,860.0,860.0,867.5,6,207,178865.0,0.0,0,9999-12-31,1,0.0,BRRCSACSA011,106
2002-01-10,02,RCSA11,10,RCSA,R11 EJ,0,R$,855.0,855.0,826.0,836.15,826.0,826.0,835.0,17,466,389650.04,0.0,0,9999-12-31,1,0.0,BRRCSACSA011,106
2002-01-11,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,2.0,2.0,2.0,2.0,2.0,1.9,0.0,1,1000,2000.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,67
