DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
2004-01-02,02,GLOB11,10,GLOBEX,PN  NOV,0,R$,7.5,7.5,7.5,7.5,7.5,7.5,0.0,2,3800,28500.0,0.0,0,9999-12-31,1,0.0,BRGLOBA01PR6,101
2004-01-07,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,76.01,76.01,76.01,76.01,76.01,76.0,90.0,1,10000,760.1,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,106
2004-01-08,02,GLOB11,10,GLOBEX,PN  NOV,0,R$,7.5,7.5,7.5,7.5,7.5,7.2,0.0,1,1800,13500.0,0.0,0,9999-12-31,1,0.0,BRGLOBA01PR6,101
2004-01-09,02,GLOB11,10,GLOBEX,PN  NOV,0,R$,7.5,7.5,7.5,7.5,7.5,7.5,0.0,6,1100,8250.0,0.0,0,9999-12-31,1,0.0,BRGLOBA01PR6,101
2004-01-12,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,76.0,76.01,76.0,76.0,76.01,76.01,85.0,2,40000,3040.1,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,106
2004-01-12,02,RCSA11,10,RCSA,R11 EJ,0,R$,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1249.0,1,1,1200.0,0.0,0,9999-12-31,1,0.0,BRRCSACSA011,180
2004-01-13,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,80.0,80.0,80.0,80.0,80.0,76.06,82.0,1,50000,4000.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,106
2004-01-13,02,RCSA11,10,RCSA,R11 EJ,0,R$,1250.0,1250.0,1250.0,1250.0,1250.0,1200.0,1290.0,1,5,6250.0,0.0,0,9999-12-31,1,0.0,BRRCSACSA011,180
2004-01-14,02,GLOB11,10,GLOBEX,PN  NOV,0,R$,7.5,7.5,7.3,7.4,7.3,7.3,10.0,2,200,1480.0,0.0,0,9999-12-31,1,0.0,BRGLOBA01PR6,101
2004-01-14,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,80.0,80.0,76.09,77.39,76.09,76.09,85.0,2,30000,2321.8,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,106
2004-01-15,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,76.09,76.09,76.09,76.09,76.09,76.12,85.0,2,20000,1521.8,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,106
2004-01-16,02,GLOB11,10,GLOBEX,PN  NOV,0,R$,7.5,7.5,7.5,7.5,7.5,7.5,10.0,1,2700,20250.0,0.0,0,9999-12-31,1,0.0,BRGLOBA01PR6,101
2004-01-22,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,76.15,76.15,76.14,76.14,76.14,76.14,82.0,2,20000,1522.9,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,106
2004-01-23,02,GLOB11,10,GLOBEX,PN  NOV,0,R$,7.3,7.3,7.3,7.3,7.3,7.3,10.0,1,300,2190.0,0.0,0,9999-12-31,1,0.0,BRGLOBA01PR6,101
2004-01-26,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,76.13,76.13,76.13,76.13,76.13,73.0,90.0,1,10000,761.3,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,106
2004-01-27,02,GLOB11,10,GLOBEX,PN  NOV,0,R$,7.5,8.0,7.5,7.75,8.0,8.0,10.0,2,200,1550.0,0.0,0,9999-12-31,1,0.0,BRGLOBA01PR6,101
