DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
2001-01-23,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,2.3,2.3,2.3,2.3,2.3,2.3,2.4,1,4000,9200.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,65
2001-01-23,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,80.0,80.0,80.0,80.0,80.0,78.0,80.0,1,20000,1600.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-23,02,TEPR11,10,BRASIL TELEC,ON *CRT,0,R$,15.02,15.02,15.02,15.02,15.02,15.02,0.0,1,100000,1502.0,0.0,0,9999-12-31,1000,0.0,BRTEPRA01OR0,103
2001-01-24,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,85.01,85.01,78.0,84.96,78.0,75.01,84.49,6,1580000,134245.7,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-26,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,6.7,6.7,6.51,6.52,6.51,6.51,0.0,3,1100000,7180.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-01-26,02,TEPR11,10,BRASIL TELEC,ON *CRT,0,R$,15.02,15.02,15.02,15.02,15.02,15.1,0.0,1,200000,3004.0,0.0,0,9999-12-31,1000,0.0,BRTEPRA01OR0,103
2001-01-26,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,78.5,79.0,78.0,78.88,78.0,78.0,84.0,7,570000,44965.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-29,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,78.01,78.5,78.0,78.24,78.5,78.5,81.0,4,410000,32080.2,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-29,02,TMGC11,10,TELEMIG CL,PNE*,0,R$,40.0,40.0,40.0,40.0,40.0,0.0,42.0,1,100000,4000.0,0.0,0,9999-12-31,1000,0.0,BRTMGCACNPE8,100
2001-01-29,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,6.51,6.51,6.51,6.51,6.51,6.51,7.5,2,800000,5208.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-01-30,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,79.0,83.0,79.0,82.27,82.0,80.0,82.0,5,1610000,132470.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-31,02,TEPR11,10,BRASIL TELEC,ON *CRT,0,R$,16.01,16.01,16.01,16.01,16.01,16.31,17.8,1,200000,3202.0,0.0,0,9999-12-31,1000,0.0,BRTEPRA01OR0,103
2001-01-31,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,80.0,80.0,80.0,80.0,80.0,79.0,84.0,6,740000,59200.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-02-01,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,84.0,84.0,84.0,84.0,84.0,79.01,82.0,1,10000,840.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-02-01,02,IBOV11,10,IBOVESPA,IBO,0,R$,17111.0,17111.0,17111.0,17111.0,17111.0,0.0,0.0,1,2000,34222000.0,0.0,0,9999-12-31,1,0.0,BRIBOVINDM18,0
2001-02-05,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,7.0,7.3,7.0,7.29,7.3,7.01,0.0,2,3100000,22600.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-02-05,02,TEPR11,10,BRASIL TELEC,ON *CRT,0,R$,15.55,15.55,15.55,15.55,15.55,15.3,17.8,1,100000,1555.0,0.0,0,9999-12-31,1000,0.0,BRTEPRA01OR0,103
2001-02-06,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,7.3,7.3,7.3,7.3,7.3,7.03,0.0,1,32900000,240170.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-02-06,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,84.0,84.0,84.0,84.0,84.0,78.0,83.9,1,40000,3360.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-02-06,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,2.05,2.05,2.05,2.05,2.05,2.05,2.3,1,1000,2050.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,65
2001-02-07,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,83.99,83.99,83.99,83.99,83.99,78.02,83.5,1,1540000,129344.6,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-02-08,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,83.0,83.0,79.11,82.18,79.11,78.5,82.0,4,190000,15614.4,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-02-08,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,7.3,7.3,7.3,7.3,7.3,7.0,0.0,1,100000,730.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-02-09,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,79.0,79.0,79.0,79.0,79.0,79.01,83.0,3,120000,9480.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-02-09,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,7.0,7.0,7.0,7.0,7.0,7.0,8.0,1,100000,700.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-02-12,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,78.5,80.0,78.5,78.8,80.0,78.52,83.0,3,50000,3940.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-02-12,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,7.0,7.0,7.0,7.0,7.0,7.0,7.75,1,100000,700.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-02-13,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,80.0,80.0,80.0,80.0,80.0,79.8,83.0,3,510000,40800.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-02-13,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,2.3,2.3,2.3,2.3,2.3,2.11,0.0,2,2000,4600.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,65
2001-02-14,02,IBOV11,10,IBOVESPA,IBO,0,R$,17193.0,17193.0,17193.0,17193.0,17193.0,0.0,0.0,59,7953,136735929.0,0.0,0,9999-12-31,1,0.0,BRIBOVINDM18,0
2001-02-14,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,80.0,84.5,80.0,80.2,80.0,80.0,85.0,5,1740000,139560.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-02-14,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,2.11,2.11,2.11,2.11,2.11,2.11,0.0,1,5000,10550.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,65
2001-02-15,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,80.0,80.0,80.0,80.0,80.0,81.0,84.49,1,50000,4000.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
