codigo,porc_indice
VALE3,11.4228
ITUB4,8.4212
PETR4,5.7952
AXIA3,4.1623
PETR3,4.067
BBDC4,3.977
SBSP3,3.5378
BPAC11,3.1366
WEGE3,3.0673
B3SA3,2.9856
ITSA4,2.9706
EMBJ3,2.7393
BBAS3,2.6364
ABEV3,2.4958
EQTL3,2.0497
RDOR3,1.8897
RENT3,1.8157
ENEV3,1.6383
PRIO3,1.3614
SUZB3,1.3601
