codigo,porc_indice
VALE3,11.879
ITUB4,8.959
PETR4,6.072
PETR3,4.305
AXIA3,4.208
BBDC4,3.938
SBSP3,3.398
B3SA3,3.377
ITSA4,3.213
BPAC11,3.119
WEGE3,2.946
BBAS3,2.602
EMBJ3,2.506
ABEV3,2.426
EQTL3,1.911
RENT3,1.823
RDOR3,1.697
ENEV3,1.548
PRIO3,1.435
VBBR3,1.396
