codigo,porc_indice
ITUB4,9.1946
VALE3,8.2044
BBDC4,7.3002
PETR4,6.5927
B3SA3,5.175
PETR3,4.7697
ABEV3,4.6512
BBAS3,3.5251
ITSA4,3.1539
JBSS3,2.7474
LREN3,2.2591
BBDC3,1.9449
IRBR3,1.9263
BRFS3,1.77
RENT3,1.5089
RAIL3,1.3319
VIVT4,1.2743
BBSE3,1.2549
SUZB3,1.2073
BRDT3,1.1994
