codigo,porc_indice
VALE3,14.478
ITUB4,6.181
PETR4,5.222
BBDC4,4.518
PETR3,4.063
B3SA3,3.71
ABEV3,3.135
WEGE3,2.338
MGLU3,2.315
ITSA4,2.206
GNDI3,2.101
SUZB3,1.948
NTCO3,1.859
JBSS3,1.819
BBAS3,1.797
BPAC11,1.551
LREN3,1.434
RENT3,1.413
BIDI11,1.322
GGBR4,1.305
