codigo,porc_indice
ITUB4,10.8072
VALE3,9.0439
BBDC4,8.4595
ABEV3,7.0389
PETR4,4.8365
BVMF3,3.8677
ITSA4,3.3778
PETR3,3.2506
BBAS3,3.2339
BRFS3,2.9184
UGPA3,2.5359
KROT3,2.2525
CIEL3,2.1523
LREN3,1.8492
VIVT4,1.7415
CCRO3,1.6733
BBSE3,1.5991
BBDC3,1.507
RADL3,1.2583
JBSS3,1.1401
