codigo,porc_indice
VALE3,11.1025
ITUB4,8.3073
PETR4,6.4232
PETR3,4.1768
BBDC4,4.024
AXIA3,3.8405
SBSP3,3.4195
B3SA3,3.1581
ITSA4,3.0695
BPAC11,2.9507
BBAS3,2.8468
WEGE3,2.6202
EMBJ3,2.6172
ABEV3,2.4714
EQTL3,2.1343
RDOR3,2.0115
RENT3,1.6396
SUZB3,1.5842
ENEV3,1.3531
PRIO3,1.3525
