codigo,porc_indice
VALE3,12.8862
ITUB4,10.4427
BBDC4,7.1807
PETR4,6.4443
ABEV3,6.4211
PETR3,4.6862
B3SA3,3.4819
ITSA4,3.3436
BBAS3,3.1403
SUZB3,1.7439
UGPA3,1.7435
LREN3,1.5672
BBDC3,1.5007
FIBR3,1.4211
CIEL3,1.3243
VIVT4,1.3017
BBSE3,1.2881
BRFS3,1.2793
RADL3,1.2743
RAIL3,1.2433
