codigo,porc_indice
VALE3,13.6967
PETR4,7.3056
ITUB4,6.1005
PETR3,4.7919
BBDC4,4.7662
B3SA3,3.571
ABEV3,3.2507
ELET3,3.2232
BBAS3,2.8925
RENT3,2.6802
WEGE3,2.1426
ITSA4,2.1085
HAPV3,1.6761
JBSS3,1.5832
BPAC11,1.5246
RDOR3,1.517
SUZB3,1.5142
RADL3,1.2911
EQTL3,1.2849
GGBR4,1.2812
