codigo,porc_indice
VALE3,10.4609
ITUB4,6.3799
PETR4,5.6232
B3SA3,5.3299
BBDC4,5.0303
PETR3,4.3987
MGLU3,3.1895
ABEV3,2.9482
ITSA4,2.3702
BBAS3,2.3406
WEGE3,2.3378
GNDI3,2.3288
LREN3,1.9537
NTCO3,1.9123
SUZB3,1.8515
JBSS3,1.8433
RENT3,1.6211
VVAR3,1.6193
RAIL3,1.6179
BRDT3,1.4007
