codigo,porc_indice
VALE3,11.3336
PETR4,7.7701
ITUB4,7.2795
PETR3,4.6825
BBDC4,3.5735
BBAS3,3.5602
ELET3,3.31
B3SA3,3.1126
WEGE3,3.0607
SBSP3,2.8839
ITSA4,2.6822
ABEV3,2.5172
BPAC11,2.0387
EQTL3,1.8958
RENT3,1.8015
JBSS3,1.7813
PRIO3,1.6667
RDOR3,1.6287
RADL3,1.5709
SUZB3,1.5453
