IBOVESPA - 2015 2026
Ano;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;Anual

2016;38,93;;;;;;;;;;60.227,28
2017;32,76;26,86;;;;;;;;;76.402,08
2018;26,56;20,80;15,03;;;;;;;;87.887,27
2019;27,80;24,29;23,03;31,58;;;;;;;115.645,34
2020;22,38;18,56;15,92;16,37;2,92;;;;;;119.017,24
2021;15,85;11,72;8,23;6,05;-4,79;-11,93;;;;;104.822,44
2022;14,19;10,52;7,51;5,71;-1,73;-3,98;4,69;;;;109.734,60
2023;15,17;12,12;9,84;8,83;3,79;4,08;13,14;22,28;;;134.185,24
2024;12,01;9,03;6,70;5,37;0,79;0,26;4,69;4,70;-10,36;;120.283,40
2025;14,03;11,55;9,78;9,04;5,68;6,25;11,35;13,66;9,58;33,95;161.125,37
2026;14,14;11,92;10,37;9,80;7,00;7,69;12,11;14,05;11,43;24,24;185.674,43
