2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
ARTE3,ARLA4,ARLA3,ARTE3,ARLA3,ARTE3,ARLA3,AMIL3,AMIL3,ARCZ3,AMAR3,ARZZ3,AORE3,ARTR3,AZEV3,AZEV3,ARZZ3,APTI4,ATOM3,AZEV3,APER3,AMBP3,AMER3,AMAR3,AMBP3,AMOB3,ARND3
ARTE4,ARTE3,ARLA4,ARTE4,ARLA4,ARTE4,ARLA4,AMPI3,AMPI3,ARCZ5,AMBV3,AUTM3,ARTR3,ARZZ3,AZEV4,AZEV4,AZEV3,ARZZ3,AZEV3,AZEV4,ARZZ3,AMER3,ANIM3,AMBP3,AMOB3,ANIM3,ASAI3
ASSM3,ARTE4,ARPS3,ASSM3,ARTE3,ASSM3,ARTE3,APTI4,AMRI8,ARCZ6,AMBV4,AVIL3,ARZZ3,AUTM3,BAHI3,BAHI3,AZEV4,ATOM3,AZEV4,AZUL4,ATOM3,ANIM3,APER3,AMER3,ANIM3,ARML3,ATED3
ASTA4,ASSM3,ARTE3,ASTA4,ARTE4,ASTA4,ARTE4,ARCE3,APTI4,ARLA3,AMCE3,AZEV3,AUTM3,AZEV3,BALM4,BALM4,BAHI3,AZEV3,AZUL4,B3SA3,AVLL3,APER3,ARML3,ANIM3,APER3,ARND3,AUAU3
ATEL4,ASTA4,ARTE4,AVIL3,ASSM3,AVIL3,ASSM3,ARCZ3,ARCZ3,ARLA4,AMIL3,AZEV4,AZEV4,AZEV4,BAUH4,BAUH4,BALM4,AZEV4,B3SA3,BAHI3,AZEV3,ARML3,ARZZ3,APER3,ARML3,ASAI3,AURE3
AVIL3,AVIL3,ASSM3,AVPL3,ASTA4,AVPL3,ASSM4,ARCZ5,ARCZ5,AVIL3,AMPI3,BAHI3,BAHI3,BAHI3,BAZA3,BAZA3,BAUH4,AZUL4,BAHI3,BALM3,AZEV4,ARZZ3,ASAI3,ARML3,ARZZ3,ATED3,AVLL3
AVIL4,AVIL4,ASTA4,AZEV4,AVIL3,AZEV4,ASTA4,ARCZ6,ARCZ6,BAHI3,AVIL3,BALM3,BALM4,BALM4,BBAS3,BBAS3,BAZA3,BAHI3,BALM3,BALM4,AZUL4,ASAI3,ATOM3,ARZZ3,ASAI3,AURE3,AXIA3
AVPL3,AVPL3,AVIL3,BAHI3,AVPL3,BAHI3,AVIL3,ARLA3,ARLA3,BAHI4,BAHI3,BALM4,BAUH4,BAUH4,BBDC3,BBDC3,BBAS3,BALM3,BALM4,BAUH4,B3SA3,ATOM3,AURE3,ASAI3,ATED3,AVLL3,AXIA6
AZEV4,AZEV4,AVPL3,BAHI5,AZEV4,BAHI5,AVPL3,ARLA4,ARLA4,BALM3,BALM3,BAUH4,BAZA3,BAZA3,BBDC4,BBDC4,BBDC3,BALM4,BAUH4,BAZA3,BAHI3,AVLL3,AVLL3,ATOM3,ATOM3,AXIA3,AXIA7
BAAM3,BAAM3,AZEV4,BALM3,BAHI3,BALM3,AZEV4,ASSM3,AVIL3,BALM4,BALM4,BAZA3,BBAS3,BBAS3,BBRK3,BBRK3,BBDC4,BAUH4,BAZA3,BBAS3,BALM3,AZEV3,AZEV3,AURE3,AURE3,AXIA5,AZEV3
BAAM4,BAAM4,BAAM3,BALM4,BAHI5,BALM4,BAHI3,ASTA4,AZEV4,BAUH4,BAUH4,BBAS3,BBDC3,BBDC3,BBSE3,BBSE3,BBRK3,BAZA3,BBAS3,BBDC3,BALM4,AZEV4,AZEV4,AVLL3,AVLL3,AXIA6,AZEV4
