DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,TOTNEG,QUATOT,VOLTOT,FATCOT,CODISI
2005-01-04,12,EURO11,10,FII EUROPAR,CI  ER,R$,110.0,110.0,110.0,110.0,110.0,1,100,11000.0,1,BREUROCTF011
2005-01-04,12,FFCI11,10,FII F CENTER,CI,R$,0.62,0.62,0.61,0.61,0.61,3,22000,13430.0,1,BRFFCICTF005
2005-01-05,12,EURO11,10,FII EUROPAR,CI  ER,R$,110.0,110.0,110.0,110.0,110.0,1,100,11000.0,1,BREUROCTF011
2005-01-05,12,FFCI11,10,FII F CENTER,CI,R$,0.61,0.61,0.61,0.61,0.61,1,20000,12200.0,1,BRFFCICTF005
2005-01-06,12,FFCI11,10,FII F CENTER,CI,R$,0.61,0.61,0.61,0.61,0.61,2,40000,24400.0,1,BRFFCICTF005
2005-01-07,12,EURO11,10,FII EUROPAR,CI  ER,R$,113.0,113.0,110.0,110.0,110.0,5,401,44113.0,1,BREUROCTF011
2005-01-07,12,FFCI11,10,FII F CENTER,CI,R$,0.61,0.61,0.61,0.61,0.61,1,17200,10492.0,1,BRFFCICTF005
2005-01-07,12,FLMA11,10,FII S F LIMA,CI,R$,0.93,0.93,0.93,0.93,0.93,1,1000,930.0,1,BRFLMACTF009
2005-01-11,12,EURO11,10,FII EUROPAR,CI  ER,R$,110.0,110.0,110.0,110.0,110.0,2,200,22000.0,1,BREUROCTF011
2005-01-14,12,FFCI11,10,FII F CENTER,CI  ER,R$,0.61,0.61,0.61,0.61,0.61,1,1000,610.0,1,BRFFCICTF005
2005-01-17,12,FJKI11,10,FII JK IMOB,CI,R$,1.49,1.49,1.49,1.49,1.49,1,17,25.33,1,BRFJKICTF000
2005-01-17,12,FLMA11,10,FII S F LIMA,CI  ER,R$,0.93,0.93,0.93,0.93,0.93,1,26,24.18,1,BRFLMACTF009
2005-01-17,12,EURO11,10,FII EUROPAR,CI,R$,113.0,113.0,113.0,113.0,113.0,1,3,339.0,1,BREUROCTF011
2005-01-18,12,EURO11,10,FII EUROPAR,CI,R$,110.0,110.0,110.0,110.0,110.0,1,100,11000.0,1,BREUROCTF011
2005-01-19,12,FFCI11,10,FII F CENTER,CI  ER,R$,0.6,0.6,0.6,0.6,0.6,3,22000,13200.0,1,BRFFCICTF005
2005-01-20,12,FFCI11,10,FII F CENTER,CI  ER,R$,0.6,0.6,0.6,0.6,0.6,1,20000,12000.0,1,BRFFCICTF005
2005-01-21,12,EURO11,10,FII EUROPAR,CI,R$,110.0,110.0,110.0,110.0,110.0,1,46,5060.0,1,BREUROCTF011
2005-01-21,12,FFCI11,10,FII F CENTER,CI,R$,0.6,0.6,0.6,0.6,0.6,1,1000,600.0,1,BRFFCICTF005
2005-01-24,12,FFCI11,10,FII F CENTER,CI,R$,0.6,0.6,0.6,0.6,0.6,1,20000,12000.0,1,BRFFCICTF005
2005-01-24,12,FJKI11,10,FII JK IMOB,CI,R$,1.49,1.49,1.49,1.49,1.49,1,1492,2223.08,1,BRFJKICTF000
2005-01-27,12,FLMA11,10,FII S F LIMA,CI  ER,R$,0.9,0.9,0.9,0.9,0.9,1,10000,9000.0,1,BRFLMACTF009
2005-01-27,12,EURO11,10,FII EUROPAR,CI,R$,110.0,110.0,110.0,110.0,110.0,1,100,11000.0,1,BREUROCTF011
2005-01-31,12,EURO11,10,FII EUROPAR,CI,R$,113.0,113.0,113.0,113.0,113.0,2,2,226.0,1,BREUROCTF011
2005-02-02,12,FFCI11,10,FII F CENTER,CI,R$,0.6,0.6,0.6,0.6,0.6,1,16000,9600.0,1,BRFFCICTF005
2005-02-03,12,EURO11,10,FII EUROPAR,CI  ER,R$,110.0,110.0,110.0,110.0,110.0,1,50,5500.0,1,BREUROCTF011
2005-02-04,12,FLMA11,10,FII S F LIMA,CI,R$,0.9,0.9,0.9,0.9,0.9,1,116,104.4,1,BRFLMACTF009
2005-02-09,12,FFCI11,10,FII F CENTER,CI,R$,0.6,0.6,0.6,0.6,0.6,1,1000,600.0,1,BRFFCICTF005
2005-02-10,12,FJKI11,10,FII JK IMOB,CI  ER,R$,1.5,1.5,1.5,1.5,1.5,1,4,6.0,1,BRFJKICTF000
2005-02-10,12,FLMA11,10,FII S F LIMA,CI,R$,0.9,0.9,0.9,0.9,0.9,3,10007,9006.3,1,BRFLMACTF009
2005-02-10,12,EURO11,10,FII EUROPAR,CI  ER,R$,113.0,113.0,110.0,110.02,110.0,3,506,55672.0,1,BREUROCTF011
2005-02-11,12,FFCI11,10,FII F CENTER,CI  ER,R$,0.6,0.6,0.6,0.6,0.6,1,19000,11400.0,1,BRFFCICTF005
2005-02-14,12,FFCI11,10,FII F CENTER,CI  ER,R$,0.6,0.6,0.6,0.6,0.6,2,20000,12000.0,1,BRFFCICTF005
2005-02-14,12,EURO11,10,FII EUROPAR,CI  ER,R$,110.0,110.0,110.0,110.0,110.0,1,100,11000.0,1,BREUROCTF011
2005-02-16,12,FJKI11,10,FII JK IMOB,CI,R$,1.5,1.5,1.5,1.5,1.5,1,500,750.0,1,BRFJKICTF000
2005-02-21,12,FFCI11,10,FII F CENTER,CI  ER,R$,0.6,0.6,0.6,0.6,0.6,2,10000,6000.0,1,BRFFCICTF005
2005-02-21,12,FJKI11,10,FII JK IMOB,CI,R$,1.5,1.5,1.5,1.5,1.5,2,3000,4500.0,1,BRFJKICTF000
2005-02-21,12,EURO11,10,FII EUROPAR,CI,R$,113.0,113.0,110.0,110.02,110.0,2,101,11113.0,1,BREUROCTF011
2005-02-22,12,FLMA11,10,FII S F LIMA,CI  ER,R$,0.88,0.88,0.88,0.88,0.88,2,20500,18040.0,1,BRFLMACTF009
2005-02-22,12,EURO11,10,FII EUROPAR,CI,R$,113.0,113.0,113.0,113.0,113.0,1,10,1130.0,1,BREUROCTF011
2005-02-22,12,FJKI11,10,FII JK IMOB,CI,R$,1.5,1.5,1.5,1.5,1.5,4,186,279.0,1,BRFJKICTF000
2005-02-24,12,FLMA11,10,FII S F LIMA,CI  ER,R$,0.87,0.87,0.87,0.87,0.87,1,500,435.0,1,BRFLMACTF009
2005-02-25,12,EURO11,10,FII EUROPAR,CI,R$,110.0,110.0,110.0,110.0,110.0,1,24,2640.0,1,BREUROCTF011
2005-02-25,12,FJKI11,10,FII JK IMOB,CI,R$,1.5,1.5,1.5,1.5,1.5,1,14,21.0,1,BRFJKICTF000
