DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,TOTNEG,QUATOT,VOLTOT,FATCOT,CODISI
2008-01-02,12,SHPH11,10,FII HIGIENOP,CI,R$,300.0,300.0,300.0,300.0,300.0,1,1,300.0,1,BRSHPHCTF008
2008-01-02,12,ALMI11B,10,FII TORRE AL,CI  ER  MB,R$,1382.01,1382.01,1382.01,1382.01,1382.01,2,6,8292.06,1,BRALMICTF003
2008-01-02,12,BBFI11B,10,FII BB PROGR,CI  ER  MB,R$,1500.01,1500.01,1500.01,1500.01,1500.01,4,43,64500.43,1,BRBBFICTF006
2008-01-02,12,FLMA11,10,FII S F LIMA,CI,R$,0.8,0.8,0.8,0.8,0.8,1,16,12.8,1,BRFLMACTF009
2008-01-02,12,FAMB11B,10,FII ALMIRANT,CI  ER  MB,R$,1819.99,1819.99,1819.99,1819.99,1819.99,1,100,181999.0,1,BRFAMBCTF018
2008-01-02,12,EURO11,10,FII EUROPAR,CI  ER,R$,161.0,161.0,157.0,160.52,157.0,3,38,6100.0,1,BREUROCTF011
2008-01-03,12,ALMI11B,10,FII TORRE AL,CI  ER  MB,R$,1400.0,1400.0,1400.0,1400.0,1400.0,5,84,117600.0,1,BRALMICTF003
2008-01-03,12,HGBS11,10,FII HG SHOP,CI  ER,R$,1200.0,1200.0,1200.0,1200.0,1200.0,1,40,48000.0,1,BRHGBSCTF000
2008-01-03,12,FLMA11,10,FII S F LIMA,CI,R$,0.8,0.8,0.8,0.8,0.8,1,20,16.0,1,BRFLMACTF009
2008-01-03,12,HTMX11B,10,FII HOTEL MX,CI  ER  MB,R$,107.5,107.5,107.5,107.5,107.5,1,1120,120400.0,1,BRHTMXCTF000
2008-01-03,12,EURO11,10,FII EUROPAR,CI  ER,R$,161.0,161.0,159.0,160.0,159.0,3,3,480.0,1,BREUROCTF011
2008-01-03,12,FAMB11B,10,FII ALMIRANT,CI  ER  MB,R$,1800.0,1800.0,1800.0,1800.0,1800.0,3,61,109800.0,1,BRFAMBCTF018
2008-01-04,12,ALMI11B,10,FII TORRE AL,CI  ER  MB,R$,1400.0,1400.0,1400.0,1400.0,1400.0,3,45,63000.0,1,BRALMICTF003
2008-01-04,12,BBFI11B,10,FII BB PROGR,CI  ER  MB,R$,1500.01,1500.01,1500.01,1500.01,1500.01,9,207,310502.07,1,BRBBFICTF006
2008-01-04,12,FLMA11,10,FII S F LIMA,CI,R$,0.8,0.8,0.8,0.8,0.8,3,222,177.6,1,BRFLMACTF009
2008-01-04,12,HGBS11,10,FII HG SHOP,CI  ER,R$,1200.0,1200.0,1199.0,1199.94,1199.0,2,17,20399.0,1,BRHGBSCTF000
2008-01-04,12,HTMX11B,10,FII HOTEL MX,CI  ER  MB,R$,110.0,110.0,110.0,110.0,110.0,2,641,70510.0,1,BRHTMXCTF000
2008-01-04,12,FFCI11,10,FII F CENTER,CI,R$,0.99,0.99,0.99,0.99,0.99,1,600,594.0,1,BRFFCICTF005
2008-01-04,12,EURO11,10,FII EUROPAR,CI  ER,R$,159.0,160.0,159.0,159.87,160.0,5,139,22223.15,1,BREUROCTF011
2008-01-04,12,FAMB11B,10,FII ALMIRANT,CI  ER  MB,R$,1800.0,1800.0,1800.0,1800.0,1800.0,3,6,10800.0,1,BRFAMBCTF018
2008-01-07,12,ALMI11B,10,FII TORRE AL,CI  ER  MB,R$,1370.01,1370.01,1370.01,1370.01,1370.01,8,100,137001.0,1,BRALMICTF003
2008-01-07,12,BBFI11B,10,FII BB PROGR,CI  ER  MB,R$,1500.0,1500.0,1500.0,1500.0,1500.0,7,114,171000.0,1,BRBBFICTF006
2008-01-07,12,HGBS11,10,FII HG SHOP,CI  ER,R$,1180.0,1180.0,1180.0,1180.0,1180.0,1,3,3540.0,1,BRHGBSCTF000
