IBOVESPA - 2020
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2020;70;3.888.224.964.389,15;1.023.378.681.999,64
2/2020;70;3.547.959.819.002,30;933.821.082.013,51
3/2020;70;2.547.446.910.702,95;670.486.632.284,85
4/2020;70;2.774.385.762.554,17;730.216.813.853,30
5/2020;72;3.050.053.589.053,38;802.772.434.872,22
6/2020;72;3.327.845.978.376,27;875.887.239.663,22
7/2020;72;3.637.123.890.736,13;957.289.016.880,59
8/2020;72;3.487.676.160.534,97;917.954.456.107,54
9/2020;74;3.324.014.924.339,96;874.878.908.338,15
10/2020;74;3.331.655.290.492,47;876.889.848.526,76
11/2020;74;3.818.516.129.979,89;1.005.031.354.945,46
12/2020;74;4.158.361.108.108,46;1.094.478.367.139,15
