IBOVESPA - 2002
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2002;48;282.605.426.340,43;116.861.194.367,60
2/2002;48;315.592.659.963,02;134.397.691.832,76
3/2002;48;309.619.023.419,70;133.249.708.821,85
4/2002;48;309.206.448.231,37;130.881.036.287,93
5/2002;48;307.608.088.812,81;121.969.900.401,53
6/2002;48;282.048.501.901,69;99.159.225.812,68
7/2002;48;255.616.639.994,66;74.556.406.590,25
8/2002;48;267.416.104.038,46;88.480.992.634,21
9/2002;47;237.854.016.899,76;61.068.067.703,82
10/2002;47;278.384.408.202,88;76.374.323.238,07
11/2002;48;279.168.133.441,47;76.768.357.883,01
12/2002;48;294.017.021.302,36;83.213.149.549,27
