IBOVESPA - 2011
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2011;63;2.005.005.406.683,70;1.198.162.666.836,25
2/2011;63;2.075.890.372.782,15;1.249.633.019.974,79
3/2011;63;2.086.588.545.070,49;1.281.137.437.877,18
4/2011;63;2.010.573.933.003,58;1.277.934.235.685,20
5/2011;62;1.949.684.508.272,99;1.234.055.641.669,11
6/2011;61;1.927.819.480.345,77;1.234.910.947.630,38
7/2011;61;1.819.407.410.019,08;1.169.059.570.789,11
8/2011;61;1.752.723.658.000,96;1.104.286.578.881,69
9/2011;63;1.688.500.656.850,47;910.537.455.160,99
10/2011;63;1.820.760.185.219,54;1.078.329.988.285,12
11/2011;63;1.806.672.735.511,36;997.665.655.481,45
12/2011;63;1.833.723.052.452,05;977.568.532.067,42
