IBOVESPA - 2023
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2023;85;3.633.719.472.754,77;711.907.737.305,53
2/2023;85;3.394.089.312.142,68;655.343.459.702,03
3/2023;85;3.269.988.624.036,61;632.089.502.645,61
4/2023;85;3.321.987.155.855,73;658.249.381.943,78
5/2023;83;3.420.334.122.047,17;684.203.665.142,47
6/2023;83;3.706.101.411.302,98;769.028.347.298,92
7/2023;82;3.793.170.604.778,90;799.993.800.438,44
8/2023;82;3.562.672.666.984,13;714.721.581.436,00
9/2023;83;3.588.973.067.700,02;738.851.892.475,56
10/2023;83;3.482.440.272.358,98;675.860.783.363,53
11/2023;83;3.875.503.272.249,50;790.935.176.687,17
12/2023;83;4.060.599.561.790,38;838.741.569.782,97
