IBOVESPA - 2019
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2019;62;3.218.298.368.773,45;866.275.031.297,55
2/2019;62;3.136.721.592.369,83;844.316.866.940,28
3/2019;62;3.114.470.041.703,32;838.327.377.918,02
4/2019;62;3.133.829.775.385,78;843.538.471.477,41
5/2019;63;3.179.552.759.110,79;855.845.807.410,52
6/2019;63;3.288.350.921.992,46;865.492.162.444,69
7/2019;63;3.320.647.558.334,41;873.992.619.448,96
8/2019;63;3.278.965.973.165,64;863.022.049.051,25
9/2019;65;3.471.796.894.439,15;913.775.041.964,33
10/2019;65;3.522.717.987.023,13;927.177.445.655,36
11/2019;65;3.566.642.796.694,90;938.738.431.514,15
12/2019;65;3.827.102.474.651,63;1.007.291.276.162,41
