IBOVESPA - 2013
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2013;64;1.982.611.778.811,10;997.139.153.453,26
2/2013;64;1.918.053.103.752,10;970.969.476.436,24
3/2013;64;1.932.343.050.256,78;959.550.625.810,32
4/2013;64;1.925.432.153.212,61;961.898.462.912,81
5/2013;65;1.906.737.330.023,74;894.384.037.723,95
6/2013;65;1.740.542.463.332,57;785.585.152.253,33
7/2013;65;1.778.892.125.241,66;776.707.036.301,62
8/2013;65;1.792.229.480.487,29;755.418.116.116,86
9/2013;67;1.897.910.544.881,61;851.080.961.830,31
10/2013;67;1.994.618.484.664,26;905.574.541.298,66
11/2013;66;1.947.206.702.922,00;837.544.282.731,34
12/2013;66;1.889.777.530.141,75;806.700.900.769,11
