IBOVESPA - 2017
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2017;56;2.239.111.508.335,56;716.057.405.927,56
2/2017;56;2.324.810.975.481,76;750.108.403.665,96
3/2017;55;2.245.685.529.752,16;708.775.889.960,94
4/2017;55;2.243.196.789.502,58;701.349.671.555,37
5/2017;55;2.159.216.186.103,92;665.664.576.287,48
6/2017;55;2.149.502.017.103,84;649.749.718.004,90
7/2017;55;2.249.025.436.687,90;718.377.818.598,97
8/2017;55;2.400.514.890.395,68;762.770.452.288,05
9/2017;56;2.517.247.304.625,62;794.585.639.086,35
10/2017;56;2.538.691.131.213,24;774.723.406.638,38
11/2017;56;2.445.003.904.184,47;749.633.279.428,61
12/2017;56;2.575.883.889.287,88;778.683.158.793,21
