IBOVESPA - 2003
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2003;45;278.628.606.839,61;79.025.641.511,02
2/2003;45;272.274.480.573,87;76.412.909.905,10
3/2003;45;285.418.951.406,70;85.120.918.376,08
4/2003;45;302.182.270.972,16;104.568.576.016,39
5/2003;45;316.435.837.475,73;106.702.130.252,14
6/2003;45;307.869.207.046,30;107.196.799.110,78
7/2003;45;326.568.647.900,65;110.122.626.167,83
8/2003;45;360.072.007.139,83;121.379.405.744,13
9/2003;45;367.903.367.531,35;125.847.768.875,78
10/2003;45;399.840.954.732,85;139.990.531.031,70
11/2003;45;432.006.457.348,83;146.472.657.946,97
12/2003;45;493.633.378.332,31;170.854.692.763,50
