IBOVESPA - 2024
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2024;83;3.893.194.838.054,06;785.948.286.676,93
2/2024;83;3.917.287.995.417,69;790.014.721.270,09
3/2024;83;3.870.878.552.418,36;774.764.531.527,64
4/2024;83;3.783.423.989.235,07;757.260.315.686,90
5/2024;83;3.646.411.003.398,76;729.836.876.706,07
6/2024;83;3.689.280.045.831,73;738.417.206.243,04
7/2024;83;3.804.807.835.414,90;705.024.892.140,59
8/2024;81;4.029.242.794.346,62;746.612.336.121,41
9/2024;83;3.964.187.942.830,14;723.827.842.100,18
10/2024;83;3.886.989.830.163,53;689.451.528.994,18
11/2024;83;3.773.278.656.427,32;651.711.398.740,41
12/2024;84;3.553.405.560.987,08;613.735.459.080,96
