IBOVESPA - 2001
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

7/2001;47;297.627.818.124,75;122.415.094.033,61
8/2001;47;286.275.951.482,66;112.190.285.488,80
9/2001;48;256.175.104.195,40;95.899.039.491,80
10/2001;48;271.238.257.628,71;100.195.137.833,04
11/2001;48;283.896.245.221,67;112.269.642.591,30
12/2001;48;294.498.513.157,33;126.917.132.027,25
