IBOVESPA - 2022
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2022;89;3.966.135.089.480,60;735.095.653.608,77
2/2022;88;3.987.194.745.033,40;775.809.383.397,53
3/2022;88;4.180.766.602.832,42;880.420.882.540,58
4/2022;88;3.736.514.336.016,35;792.339.441.031,51
5/2022;89;3.783.322.906.779,03;801.279.843.014,89
6/2022;88;3.372.964.134.214,38;644.536.779.005,69
7/2022;87;3.549.473.936.753,27;684.117.249.393,48
8/2022;87;3.638.232.645.669,71;702.497.131.814,94
9/2022;89;3.677.575.070.375,97;687.294.436.416,20
10/2022;89;3.887.634.920.035,34;739.515.868.372,72
11/2022;89;3.673.785.910.734,12;692.997.172.530,20
12/2022;88;3.542.609.171.813,73;678.959.919.469,02
