IBOVESPA - 2012
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2012;65;1.978.729.930.397,66;1.137.789.621.297,02
2/2012;65;2.055.104.639.496,00;1.202.378.094.720,36
3/2012;65;2.049.881.652.883,81;1.125.010.511.433,98
4/2012;63;1.970.086.854.444,79;1.041.382.204.485,01
5/2012;63;1.792.777.291.446,91;886.504.124.732,63
6/2012;62;1.795.515.843.610,76;888.297.552.867,30
7/2012;62;1.842.316.229.850,56;898.734.684.545,87
8/2012;62;1.829.033.044.407,31;897.817.123.702,78
9/2012;63;1.867.840.521.050,64;919.846.607.431,58
10/2012;63;1.831.537.325.228,58;901.657.719.307,10
11/2012;63;1.874.012.705.072,05;889.253.442.664,93
12/2012;63;1.961.800.148.386,37;960.019.646.873,69
