IBOVESPA - 2015
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2015;64;1.744.785.255.788,93;655.367.635.423,83
2/2015;64;1.897.789.378.219,85;659.366.749.433,65
3/2015;64;1.885.818.864.933,45;587.848.773.358,31
4/2015;64;2.066.169.595.947,61;690.195.615.963,25
5/2015;62;1.949.062.507.141,89;613.144.113.232,05
6/2015;62;1.973.590.995.703,66;636.108.746.117,32
7/2015;62;1.903.496.153.604,43;560.841.530.231,14
8/2015;62;1.754.226.565.936,40;481.044.935.403,61
9/2015;61;1.700.334.994.748,24;427.983.335.787,02
10/2015;60;1.678.886.449.064,91;435.068.659.220,21
11/2015;60;1.658.564.078.124,12;430.728.737.891,32
12/2015;60;1.591.222.118.061,16;407.504.127.755,87
