IBOVESPA - 2006
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2006;48;985.609.421.773,39;444.769.594.663,05
2/2006;48;978.448.444.230,13;458.182.366.766,66
3/2006;45;963.798.577.540,25;443.656.130.335,23
4/2006;45;1.039.802.033.053,23;497.703.442.970,12
5/2006;46;961.364.364.831,85;417.893.660.000,81
6/2006;46;952.477.968.117,79;440.085.925.295,79
7/2006;46;968.528.801.131,57;445.055.050.607,31
8/2006;46;949.577.160.956,16;443.976.604.150,05
9/2006;49;986.819.840.459,55;453.877.214.819,01
10/2006;49;1.046.270.805.657,51;488.227.160.829,51
11/2006;48;1.114.500.600.040,15;514.353.239.819,14
12/2006;48;1.180.653.283.021,59;552.223.238.083,10
