IBOVESPA - 2014
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2014;68;1.803.394.050.764,00;743.269.196.209,90
2/2014;68;1.789.062.888.155,26;766.719.331.514,21
3/2014;68;1.900.954.434.007,72;840.015.216.088,25
4/2014;68;1.939.626.037.672,41;867.453.505.220,24
5/2014;67;1.901.605.882.857,03;849.310.354.112,15
6/2014;67;1.960.982.717.329,99;890.344.026.029,48
7/2014;66;2.037.449.832.062,68;898.584.207.489,96
8/2014;66;2.223.585.052.853,78;992.849.193.094,25
9/2014;65;1.979.221.905.137,37;807.516.077.167,40
10/2014;66;1.979.772.983.773,78;809.988.128.538,50
11/2014;66;1.992.300.737.829,14;778.212.076.805,22
12/2014;66;1.824.499.232.461,84;686.883.228.846,41
