IBOVESPA - 2021
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2021;78;4.077.036.805.980,79;773.425.808.320,46
2/2021;78;3.907.885.509.721,17;721.251.616.721,60
3/2021;79;4.096.930.097.301,11;743.787.461.838,94
4/2021;79;4.155.451.799.205,54;763.532.963.252,53
5/2021;81;4.501.066.217.349,22;860.937.284.548,79
6/2021;81;4.494.700.666.287,55;913.445.650.182,47
7/2021;81;4.351.605.277.222,02;842.208.147.481,44
8/2021;81;4.233.714.147.972,51;780.063.040.861,57
9/2021;87;4.104.766.544.089,90;754.635.905.447,31
10/2021;88;3.813.475.513.186,94;679.473.222.362,41
11/2021;88;3.713.847.383.068,94;685.224.336.808,62
12/2021;88;3.706.401.135.819,20;657.664.733.009,09
