IBOVESPA - 2025
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2025;84;3.747.345.039.221,14;616.938.318.305,78
2/2025;84;3.609.200.719.832,23;594.195.143.285,79
3/2025;84;3.792.510.589.792,83;667.084.814.921,70
4/2025;84;3.901.883.496.345,15;686.322.995.909,55
5/2025;83;3.954.235.807.962,37;695.531.521.839,56
6/2025;81;3.866.444.970.319,65;680.089.525.490,69
7/2025;81;3.681.726.979.500,94;647.598.497.766,28
8/2025;81;3.863.006.026.702,68;714.683.272.904,36
9/2025;79;3.924.972.880.781,17;723.124.079.881,53
10/2025;79;4.000.299.057.101,11;748.741.096.655,44
11/2025;79;4.257.985.059.359,26;796.972.515.649,22
12/2025;79;4.201.056.895.857,88;786.317.198.393,64
