IBOVESPA - 2008
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2008;58;1.624.321.037.897,17;922.752.393.283,61
2/2008;58;1.736.301.156.613,93;1.031.486.459.106,48
3/2008;58;1.640.944.287.865,56;938.164.935.032,65
4/2008;57;1.802.722.540.189,89;1.068.469.974.033,78
5/2008;59;1.934.058.914.228,09;1.186.976.134.913,48
6/2008;59;1.754.071.852.683,93;1.101.873.140.702,20
7/2008;59;1.591.177.725.037,69;1.015.688.577.197,54
8/2008;59;1.500.286.869.930,19;917.943.508.278,33
9/2008;59;1.417.135.601.073,50;740.289.192.432,54
10/2008;59;1.072.993.580.723,75;507.253.619.214,16
11/2008;59;1.063.719.120.856,39;455.925.215.745,72
12/2008;59;1.087.639.848.491,75;465.400.020.749,53
