IBOVESPA - 2010
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2010;57;1.733.051.620.344,52;924.392.799.415,69
2/2010;57;1.738.269.311.155,96;959.839.487.109,86
3/2010;57;1.815.435.679.794,50;1.019.335.025.151,35
4/2010;57;1.748.312.322.026,40;1.010.234.786.794,40
5/2010;60;1.665.262.124.062,26;916.641.230.837,35
6/2010;59;1.599.801.982.867,56;888.038.846.998,38
7/2010;59;1.775.691.986.687,74;1.010.523.552.633,59
8/2010;59;1.715.214.795.810,39;976.773.801.714,35
9/2010;62;2.037.373.612.490,57;1.202.557.910.807,83
10/2010;61;2.071.370.099.986,03;1.217.450.393.785,11
11/2010;61;2.000.154.283.514,16;1.165.523.153.379,29
12/2010;62;2.070.751.900.267,21;1.242.799.123.915,06
