IBOVESPA - 2016
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2016;58;1.506.704.558.003,34;372.688.373.900,11
2/2016;58;1.560.784.247.649,59;392.196.262.852,92
3/2016;58;1.795.296.276.762,00;504.452.577.133,96
4/2016;58;1.917.723.005.640,22;555.732.875.171,04
5/2016;56;1.740.044.510.268,63;484.004.481.173,99
6/2016;56;1.821.192.386.744,97;567.385.004.282,21
7/2016;56;2.004.422.501.753,52;618.839.920.269,68
8/2016;56;2.029.117.295.647,38;626.212.787.596,03
9/2016;55;2.044.579.568.749,60;629.837.831.541,39
10/2016;55;2.234.166.057.965,58;702.325.000.146,33
11/2016;55;2.134.703.924.696,95;628.464.075.336,89
12/2016;55;2.078.361.495.216,37;637.710.255.965,24
