IBOVESPA - 2009
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2009;59;1.120.575.082.870,43;483.798.930.519,99
2/2009;59;1.116.488.635.066,44;469.428.454.030,66
3/2009;58;1.177.778.959.262,12;508.715.860.082,13
4/2009;58;1.308.275.666.762,76;600.594.806.391,54
5/2009;58;1.440.477.464.611,90;730.095.015.008,56
6/2009;58;1.380.812.316.244,55;707.528.344.048,24
7/2009;58;1.428.600.686.107,29;762.896.873.922,49
8/2009;58;1.460.548.292.722,33;774.251.639.483,84
9/2009;57;1.581.312.644.940,44;889.327.172.229,06
10/2009;57;1.584.354.622.540,69;908.460.219.346,71
11/2009;55;1.708.257.481.010,12;975.868.312.487,95
12/2009;55;1.739.615.214.143,77;999.089.831.233,53
