IBOVESPA - 2007
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2007;52;1.229.161.815.199,46;578.510.761.613,13
2/2007;52;1.198.772.121.681,34;565.939.062.261,03
3/2007;52;1.245.897.015.995,56;607.636.078.811,71
4/2007;52;1.318.668.018.529,06;648.344.568.822,97
5/2007;54;1.430.687.757.975,05;741.711.731.025,52
6/2007;53;1.462.435.515.765,38;759.233.473.037,78
7/2007;53;1.467.662.303.643,84;781.669.313.828,15
8/2007;54;1.483.129.091.601,70;755.927.161.876,52
9/2007;57;1.658.438.907.472,95;901.864.651.407,30
10/2007;57;1.792.778.480.952,96;1.027.969.312.473,08
11/2007;57;1.735.614.108.300,34;973.041.491.450,47
12/2007;57;1.764.960.547.416,13;996.421.017.002,29
