DATAPREG,PREULT
2026-01-02,51.87
2026-01-05,50.43
2026-01-06,50.23
2026-01-07,49.94
2026-01-08,49.57
2026-01-09,50.99
2026-01-12,52.11
2026-01-13,51.51
2026-01-14,52.17
2026-01-15,52.35
2026-01-16,51.6
2026-01-19,51.85
2026-01-20,51.35
2026-01-21,52.2
2026-01-22,52.19
2026-01-23,52.25
2026-01-26,51.67
2026-01-27,51.28
2026-01-28,51.76
2026-01-29,49.36
2026-01-30,49.33
2026-02-02,48.72
2026-02-03,49.09
2026-02-04,49.6
2026-02-05,50.43
2026-02-06,50.2
2026-02-09,51.34
2026-02-10,51.12
2026-02-11,57.93
2026-02-12,58.25
2026-02-13,58.34
2026-02-18,57.2
2026-02-19,57.13
2026-02-20,56.86
2026-02-23,57.0
2026-02-24,58.58
2026-02-25,58.9
2026-02-26,58.98
2026-02-27,58.0
