DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
2002-01-02,14,TEFC11,10,TELEFONICA,BDR,0,R$,31.11,31.6,31.1,31.3,31.5,31.3,31.5,12,70800,2216672.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-02,96,TEFC11F,20,TELEFONICA,BDR,0,R$,31.13,31.25,31.13,31.18,31.2,30.8,31.5,4,145,4522.27,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-02,62,TEFC11T,30,TEFC,BDR,90,R$,32.85,32.89,32.85,32.87,32.89,0.0,0.0,2,100,3287.2,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-02,62,TEFC11T,30,TEFC,BDR,60,R$,32.17,32.2,32.17,32.19,32.2,0.0,0.0,2,100,3219.1,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-02,62,TEFC11T,30,TEFC,BDR,30,R$,31.96,31.96,31.95,31.95,31.95,0.0,0.0,2,3000,95870.25,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-03,14,TEFC11,10,TELEFONICA,BDR,0,R$,31.8,32.2,31.7,31.93,32.2,32.0,32.4,20,92800,2963510.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-03,96,TEFC11F,20,TELEFONICA,BDR,0,R$,31.35,32.2,31.35,31.62,31.5,31.36,34.98,5,178,5628.65,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-04,96,TEFC11F,20,TELEFONICA,BDR,0,R$,31.2,31.71,31.2,31.44,31.71,31.72,32.2,4,172,5407.7,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-04,14,TEFC11,10,TELEFONICA,BDR,0,R$,32.2,32.3,32.0,32.13,32.2,31.8,32.35,10,26300,845165.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-07,14,TEFC11,10,TELEFONICA,BDR,0,R$,32.2,32.2,31.0,31.09,31.0,30.7,30.9,12,126600,3937225.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-07,96,TEFC11F,20,TELEFONICA,BDR,0,R$,30.6,30.6,30.6,30.6,30.6,30.55,31.8,1,84,2570.4,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-07,62,TEFC11T,30,TEFC,BDR,60,R$,31.89,31.9,31.89,31.89,31.9,0.0,0.0,2,100,3189.59,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-08,62,TEFC11T,30,TEFC,BDR,90,R$,31.8,31.81,31.8,31.8,31.81,0.0,0.0,2,100,3180.54,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-08,96,TEFC11F,20,TELEFONICA,BDR,0,R$,30.05,30.5,30.05,30.38,30.5,30.8,33.0,2,121,3676.1,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-08,14,TEFC11,10,TELEFONICA,BDR,0,R$,30.5,31.5,30.3,30.98,31.5,31.1,31.5,9,10700,331569.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-09,14,TEFC11,10,TELEFONICA,BDR,0,R$,30.7,30.85,30.4,30.41,30.4,30.01,30.8,11,59800,1818735.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-09,96,TEFC11F,20,TELEFONICA,BDR,0,R$,30.45,30.45,30.02,30.37,30.31,30.05,31.0,4,122,3705.15,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-10,14,TEFC11,10,TELEFONICA,BDR,0,R$,29.96,30.1,29.2,29.44,30.1,29.5,31.5,13,41600,1224777.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-10,96,TEFC11F,20,TELEFONICA,BDR,0,R$,29.63,29.63,29.11,29.26,29.32,29.5,33.0,6,148,4330.66,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-11,14,TEFC11,10,TELEFONICA,BDR,0,R$,29.85,30.7,29.5,30.4,30.3,30.1,30.5,11,30900,939665.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-11,96,TEFC11F,20,TELEFONICA,BDR,0,R$,29.55,30.6,29.5,29.91,29.5,29.5,33.0,7,103,3080.75,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-14,62,TEFC11T,30,TEFC,BDR,60,R$,29.95,29.96,29.95,29.95,29.96,0.0,0.0,2,50,1497.78,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-14,96,TEFC11F,20,TELEFONICA,BDR,0,R$,29.51,29.51,28.7,29.25,29.1,28.56,29.1,5,189,5529.3,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-14,14,TEFC11,10,TELEFONICA,BDR,0,R$,29.4,29.4,29.2,29.23,29.2,29.21,29.49,5,600,17540.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-15,62,TEFC11T,30,TEFC,BDR,90,R$,30.46,30.47,30.46,30.46,30.47,0.0,0.0,2,72,2193.66,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-15,14,TEFC11,10,TELEFONICA,BDR,0,R$,29.25,29.25,29.0,29.17,29.2,29.2,30.0,14,29500,860768.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-15,96,TEFC11F,20,TELEFONICA,BDR,0,R$,29.2,29.2,28.81,29.1,28.81,28.5,33.0,5,138,4017.12,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-16,14,TEFC11,10,TELEFONICA,BDR,0,R$,28.4,28.75,28.1,28.41,28.5,28.11,28.5,11,12200,346665.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-16,96,TEFC11F,20,TELEFONICA,BDR,0,R$,28.2,28.2,28.2,28.2,28.2,28.1,33.0,3,144,4060.8,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-17,96,TEFC11F,20,TELEFONICA,BDR,0,R$,28.5,28.5,28.5,28.5,28.5,28.5,33.0,2,150,4275.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-17,14,TEFC11,10,TELEFONICA,BDR,0,R$,28.5,29.1,28.5,28.76,28.85,28.85,29.25,6,800,23015.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-18,14,TEFC11,10,TELEFONICA,BDR,0,R$,28.9,29.4,28.9,29.11,29.4,29.2,29.4,4,5500,160119.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-18,96,TEFC11F,20,TELEFONICA,BDR,0,R$,28.2,28.2,28.2,28.2,28.2,28.9,33.0,1,72,2030.4,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-21,96,TEFC11F,20,TELEFONICA,BDR,0,R$,29.0,29.0,28.1,28.59,28.1,28.8,29.9,10,234,6692.2,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-21,14,TEFC11,10,TELEFONICA,BDR,0,R$,29.0,29.0,28.4,28.69,28.85,28.4,29.5,9,4800,137733.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-22,14,TEFC11,10,TELEFONICA,BDR,0,R$,28.85,29.89,28.85,29.35,29.3,28.5,29.79,8,23100,678127.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-22,96,TEFC11F,20,TELEFONICA,BDR,0,R$,28.75,29.41,28.75,28.96,28.8,28.8,32.5,7,258,7474.05,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-22,62,TEFC11T,30,TEFC,BDR,90,R$,31.03,31.03,31.03,31.03,31.03,0.0,0.0,1,100,3103.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-23,14,TEFC11,10,TELEFONICA,BDR,0,R$,29.15,29.5,28.95,29.32,29.5,28.5,30.0,7,6100,178865.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-23,96,TEFC11F,20,TELEFONICA,BDR,0,R$,28.55,29.15,28.55,28.79,29.03,29.03,31.5,6,175,5039.45,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-24,14,TEFC11,10,TELEFONICA,BDR,0,R$,29.5,30.5,29.5,29.8,30.5,30.0,30.99,4,3000,89400.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-24,96,TEFC11F,20,TELEFONICA,BDR,0,R$,29.5,30.24,29.5,29.74,30.24,30.04,32.9,3,119,3540.1,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,102
2002-01-28,96,TEFC11F,20,TELEFONICA,BDR EB,0,R$,29.0,29.0,29.0,29.0,29.0,27.0,29.9,2,44,1276.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
2002-01-28,14,TEFC11,10,TELEFONICA,BDR EB,0,R$,29.8,29.8,29.6,29.66,29.6,29.3,29.8,2,300,8900.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
2002-01-29,14,TEFC11,10,TELEFONICA,BDR EB,0,R$,29.75,30.05,29.2,29.46,29.2,0.0,29.2,10,15800,465590.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
2002-01-29,96,TEFC11F,20,TELEFONICA,BDR EB,0,R$,29.7,29.85,29.5,29.58,29.85,29.0,30.99,3,64,1893.65,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
2002-01-30,96,TEFC11F,20,TELEFONICA,BDR EB,0,R$,27.7,28.0,27.05,27.68,27.05,27.15,28.5,3,20,553.6,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
2002-01-30,14,TEFC11,10,TELEFONICA,BDR EB,0,R$,28.4,28.6,28.2,28.49,28.6,28.2,28.6,6,10200,290600.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
2002-01-31,96,TEFC11F,20,TELEFONICA,BDR EB,0,R$,28.55,28.75,27.8,28.21,28.0,27.55,28.2,6,235,6631.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
2002-01-31,14,TEFC11,10,TELEFONICA,BDR EB,0,R$,28.75,28.75,28.2,28.34,28.2,27.51,28.55,8,12200,345845.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
2002-02-01,14,TEFC11,10,TELEFONICA,BDR EB,0,R$,28.25,28.9,28.25,28.67,28.75,28.35,28.75,15,29400,843115.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
2002-02-01,96,TEFC11F,20,TELEFONICA,BDR EB,0,R$,28.0,28.2,28.0,28.09,28.0,28.0,0.0,4,137,3849.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
2002-02-04,96,TEFC11F,20,TELEFONICA,BDR EB,0,R$,27.81,28.1,27.81,27.89,28.1,28.0,0.0,4,124,3459.37,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
2002-02-04,14,TEFC11,10,TELEFONICA,BDR EB,0,R$,28.3,28.3,28.0,28.1,28.0,28.0,28.4,3,300,8431.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
2002-02-05,96,TEFC11F,20,TELEFONICA,BDR EB,0,R$,26.7,27.2,26.7,26.99,27.2,27.0,27.2,5,133,3589.76,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
2002-02-05,14,TEFC11,10,TELEFONICA,BDR EB,0,R$,27.81,27.81,27.1,27.41,27.35,27.35,27.5,8,11400,312531.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
2002-02-06,96,TEFC11F,20,TELEFONICA,BDR EB,0,R$,26.7,26.7,26.49,26.57,26.5,26.5,26.89,6,64,1700.9,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
2002-02-06,14,TEFC11,10,TELEFONICA,BDR EB,0,R$,27.0,27.0,26.5,26.68,26.9,26.31,27.0,4,500,13340.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
2002-02-07,14,TEFC11,10,TELEFONICA,BDR,0,R$,26.9,27.7,26.9,27.66,27.7,27.35,28.0,4,5400,149389.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
2002-02-07,96,TEFC11F,20,TELEFONICA,BDR,0,R$,26.65,27.35,26.65,26.9,27.35,27.35,28.0,4,100,2690.7,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
2002-02-08,14,TEFC11,10,TELEFONICA,BDR,0,R$,27.65,27.9,27.65,27.78,27.8,27.1,27.8,3,300,8335.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,103
