DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
2007-01-02,96,TEFC11F,20,TELEFONICA,BDR,0,R$,44.07,44.07,44.07,44.07,44.07,44.07,45.4,1,41,1806.87,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,116
2007-01-02,14,GPIV11,10,GP INVEST,BDR,0,R$,44.97,45.0,44.97,44.99,45.0,44.49,45.0,20,10700,481495.0,0.0,0,9999-12-31,1,0.0,BRGPIVBDR003,100
2007-01-02,96,GPIV11F,20,GP INVEST,BDR,0,R$,44.85,44.99,44.85,44.89,44.99,43.0,44.99,5,63,2828.07,0.0,0,9999-12-31,1,0.0,BRGPIVBDR003,100
2007-01-02,62,GPIV11T,30,GP INVEST,BDR,30,R$,45.4,45.41,45.4,45.4,45.41,0.0,0.0,2,100,4540.62,0.0,0,9999-12-31,1,0.0,BRGPIVBDR003,100
2007-01-02,14,DUFB11,10,DUFRYBRAS,BDR,0,R$,28.35,28.35,27.7,28.02,27.9,27.9,28.0,221,431600,12097611.0,0.0,0,9999-12-31,1,0.0,BRDUFBBDR008,100
2007-01-02,96,DUFB11F,20,DUFRYBRAS,BDR,0,R$,28.0,28.15,27.4,27.91,28.01,27.9,28.07,123,3201,89357.77,0.0,0,9999-12-31,1,0.0,BRDUFBBDR008,100
2007-01-03,14,TEFC11,10,TELEFONICA,BDR,0,R$,46.0,46.0,46.0,46.0,46.0,45.4,46.5,1,400,18400.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,116
2007-01-03,96,TEFC11F,20,TELEFONICA,BDR,0,R$,46.0,46.0,45.58,45.66,45.58,45.58,0.0,4,105,4794.3,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,116
2007-01-03,14,GPIV11,10,GP INVEST,BDR,0,R$,45.0,45.0,43.5,44.1,45.0,44.89,45.0,26,284000,12527040.0,0.0,0,9999-12-31,1,0.0,BRGPIVBDR003,100
2007-01-03,96,GPIV11F,20,GP INVEST,BDR,0,R$,44.99,44.99,44.99,44.99,44.99,44.89,44.99,1,13,584.87,0.0,0,9999-12-31,1,0.0,BRGPIVBDR003,100
2007-01-03,14,DUFB11,10,DUFRYBRAS,BDR,0,R$,27.4,28.21,27.4,27.96,28.0,28.0,28.1,121,83300,2329316.0,0.0,0,9999-12-31,1,0.0,BRDUFBBDR008,100
2007-01-03,96,DUFB11F,20,DUFRYBRAS,BDR,0,R$,27.3,28.15,27.3,27.91,27.91,27.9,27.91,94,3015,84174.34,0.0,0,9999-12-31,1,0.0,BRDUFBBDR008,100
2007-01-03,62,DUFB11T,30,DUFRYBRAS,BDR,30,R$,28.41,28.42,28.41,28.41,28.42,0.0,0.0,4,200,5682.6,0.0,0,9999-12-31,1,0.0,BRDUFBBDR008,100
2007-01-04,14,TEFC11,10,TELEFONICA,BDR,0,R$,46.3,46.83,46.3,46.56,46.83,45.5,47.0,6,1100,51224.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,116
2007-01-04,96,TEFC11F,20,TELEFONICA,BDR,0,R$,46.0,46.3,45.02,45.4,46.3,46.21,46.83,4,102,4631.42,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,116
2007-01-04,14,GPIV11,10,GP INVEST,BDR,0,R$,44.99,45.0,44.5,44.51,45.0,44.2,44.99,14,512800,22825846.0,0.0,0,9999-12-31,1,0.0,BRGPIVBDR003,100
2007-01-04,96,GPIV11F,20,GP INVEST,BDR,0,R$,44.6,44.6,44.6,44.6,44.6,44.11,44.99,1,60,2676.0,0.0,0,9999-12-31,1,0.0,BRGPIVBDR003,100
2007-01-04,14,DUFB11,10,DUFRYBRAS,BDR,0,R$,28.0,28.15,27.45,27.67,27.88,27.51,27.89,115,237100,6562062.0,0.0,0,9999-12-31,1,0.0,BRDUFBBDR008,100
2007-01-04,96,DUFB11F,20,DUFRYBRAS,BDR,0,R$,27.95,28.0,27.34,27.66,27.5,27.52,27.59,47,1446,40000.16,0.0,0,9999-12-31,1,0.0,BRDUFBBDR008,100
2007-01-04,62,DUFB11T,30,DUFRYBRAS,BDR,18,R$,27.74,27.75,27.74,27.74,27.75,0.0,0.0,2,100,2774.92,0.0,0,9999-12-31,1,0.0,BRDUFBBDR008,100
2007-01-05,14,TEFC11,10,TELEFONICA,BDR,0,R$,46.83,47.0,46.83,46.93,46.86,37.07,46.95,7,2100,98558.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,116
2007-01-05,96,TEFC11F,20,TELEFONICA,BDR,0,R$,40.0,47.0,37.07,45.4,46.6,46.18,47.0,7,126,5720.61,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,116
2007-01-05,14,GPIV11,10,GP INVEST,BDR,0,R$,45.0,48.0,44.5,44.59,47.0,46.1,47.0,32,270700,12073094.0,0.0,0,9999-12-31,1,0.0,BRGPIVBDR003,100
2007-01-05,96,GPIV11F,20,GP INVEST,BDR,0,R$,44.99,45.0,44.05,44.97,44.05,44.05,48.0,7,194,8725.85,0.0,0,9999-12-31,1,0.0,BRGPIVBDR003,100
2007-01-05,14,DUFB11,10,DUFRYBRAS,BDR,0,R$,27.55,28.0,27.0,27.46,27.9,27.5,27.9,340,143400,3938828.0,0.0,0,9999-12-31,1,0.0,BRDUFBBDR008,100
2007-01-05,96,DUFB11F,20,DUFRYBRAS,BDR,0,R$,27.4,27.95,26.9,27.44,27.11,27.15,27.66,58,1929,52948.76,0.0,0,9999-12-31,1,0.0,BRDUFBBDR008,100
2007-01-05,62,DUFB11T,30,DUFRYBRAS,BDR,21,R$,28.19,28.2,28.19,28.19,28.2,0.0,0.0,2,400,11279.74,0.0,0,9999-12-31,1,0.0,BRDUFBBDR008,100
2007-01-08,14,TEFC11,10,TELEFONICA,BDR,0,R$,47.18,47.5,47.18,47.29,47.39,47.2,47.99,9,7800,369069.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,116
2007-01-08,96,TEFC11F,20,TELEFONICA,BDR,0,R$,46.3,47.3,46.3,46.47,47.3,46.81,47.39,3,70,3253.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,116
2007-01-08,14,GPIV11,10,GP INVEST,BDR,0,R$,48.0,48.0,45.51,47.5,47.77,45.5,47.75,9,18000,855043.0,0.0,0,9999-12-31,1,0.0,BRGPIVBDR003,100
