DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
2000-07-17,14,TEFC11,10,TELEFONICA,BDR,0,R$,42.8,42.8,41.1,42.48,42.0,41.3,41.89,51,381900,16224594.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-17,96,TEFC11F,20,TELEFONICA,BDR,0,R$,42.5,42.5,40.5,41.84,41.0,41.02,41.9,14,372,15531.24,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-18,96,TEFC11F,20,TELEFONICA,BDR,0,R$,40.53,40.53,39.1,40.28,40.5,39.06,40.5,13,295,11883.82,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-18,14,TEFC11,10,TELEFONICA,BDR,0,R$,41.0,41.0,39.9,40.47,40.48,39.8,40.49,24,1410800,57100306.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-18,62,TEFC11T,30,TEFC,BDR,37,R$,41.17,41.17,41.16,41.16,41.16,0.0,0.0,2,1265012,52070645.32,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-19,96,TEFC11F,20,TELEFONICA,BDR,0,R$,39.6,40.0,38.01,39.24,39.79,38.0,39.7,8,172,6750.35,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-19,14,TEFC11,10,TELEFONICA,BDR,0,R$,40.4,40.99,39.01,39.95,40.0,39.2,39.9,15,161800,6464175.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-19,62,TEFC11T,30,TEFC,BDR,60,R$,40.83,40.83,40.82,40.82,40.82,0.0,0.0,2,400,16330.74,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-20,14,TEFC11,10,TELEFONICA,BDR,0,R$,40.58,41.0,40.5,40.66,40.99,40.99,41.0,49,429500,17464910.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-20,96,TEFC11F,20,TELEFONICA,BDR,0,R$,40.35,41.0,40.24,40.65,41.0,40.46,41.0,23,774,31468.66,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-21,14,TEFC11,10,TELEFONICA,BDR,0,R$,40.99,40.99,39.9,40.21,40.5,40.01,40.49,21,48900,1966635.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-21,96,TEFC11F,20,TELEFONICA,BDR,0,R$,40.99,41.0,38.3,40.4,39.9,39.5,40.97,18,500,20204.01,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-24,96,TEFC11F,20,TELEFONICA,BDR,0,R$,40.5,40.5,39.01,39.56,39.2,39.2,39.6,16,448,17725.13,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-24,14,TEFC11,10,TELEFONICA,BDR,0,R$,40.1,40.1,39.1,39.78,39.1,39.1,39.5,45,93700,3727795.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-25,62,TEFC11T,30,TEFC,BDR,30,R$,39.5,39.5,39.5,39.5,39.5,0.0,0.0,1,100,3950.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-25,96,TEFC11F,20,TELEFONICA,BDR,0,R$,39.1,39.3,38.01,38.75,38.5,38.1,38.4,29,578,22391.32,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-25,14,TEFC11,10,TELEFONICA,BDR,0,R$,39.1,39.9,38.51,38.94,38.51,38.51,38.7,64,1053300,41017355.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-26,14,TEFC11,10,TELEFONICA,BDR,0,R$,39.8,39.8,39.0,39.42,39.01,39.01,39.25,50,1191400,46966560.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-26,96,TEFC11F,20,TELEFONICA,BDR,0,R$,39.0,40.0,38.51,39.03,38.51,38.51,39.15,16,538,20999.12,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
2000-07-27,14,TEFC11,10,TELEFONICA,BDR,0,R$,39.5,39.8,38.5,39.5,39.4,39.0,39.4,39,726300,28691199.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,100
