DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
2006-01-02,96,TEFC11F,20,TELEFONICA,BDR,0,R$,33.0,33.0,33.0,33.0,33.0,32.18,35.5,1,32,1056.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,114
2006-01-03,96,TEFC11F,20,TELEFONICA,BDR,0,R$,35.0,35.0,35.0,35.0,35.0,34.08,35.79,1,12,420.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,114
2006-01-03,14,TEFC11,10,TELEFONICA,BDR,0,R$,35.4,35.8,35.4,35.69,35.8,35.81,37.49,4,2300,82109.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,114
2006-01-04,14,TEFC11,10,TELEFONICA,BDR,0,R$,35.95,35.95,35.8,35.94,35.8,35.8,35.95,2,2100,75480.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,114
2006-01-04,96,TEFC11F,20,TELEFONICA,BDR,0,R$,35.2,35.6,35.2,35.26,35.6,34.08,35.79,3,114,4020.4,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,114
2006-01-05,14,TEFC11,10,TELEFONICA,BDR,0,R$,35.5,35.94,35.5,35.76,35.94,35.8,42.48,4,500,17884.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,114
2006-01-05,96,TEFC11F,20,TELEFONICA,BDR,0,R$,35.2,35.79,35.2,35.46,35.79,32.18,35.79,4,172,6099.49,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,114
2006-01-06,14,TEFC11,10,TELEFONICA,BDR,0,R$,35.5,35.85,35.5,35.67,35.85,35.86,37.0,2,200,7135.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,114
2006-01-06,96,TEFC11F,20,TELEFONICA,BDR,0,R$,35.0,36.0,35.0,35.43,36.0,35.28,0.0,9,172,6094.6,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,114
2006-01-09,14,TEFC11,10,TELEFONICA,BDR,0,R$,35.85,35.85,35.85,35.85,35.85,35.85,37.0,1,100,3585.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,114
2006-01-09,96,TEFC11F,20,TELEFONICA,BDR,0,R$,35.85,35.85,35.85,35.85,35.85,35.85,0.0,2,74,2652.9,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,114
2006-01-10,14,TEFC11,10,TELEFONICA,BDR,0,R$,35.5,35.5,35.5,35.5,35.5,35.01,36.0,1,300,10650.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,114
