Dia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
1,,85495.24,85377.79,,,77239.75,,79301.65,,78623.66,88419.05,
2,77891.04,84041.34,85761.34,84666.44,84547.09,,72839.74,79636.69,,81612.28,,
3,77995.16,,,84623.46,83288.14,,73667.76,81434.98,76192.74,83273.4,,89820.09
4,78647.42,,,84359.69,83118.03,78596.06,74743.12,,74711.8,82952.81,,88624.45
5,79071.47,81861.09,86022.83,85209.66,,76641.72,74553.06,,75092.27,82321.52,89598.16,89039.8
6,,83894.04,85653.02,84820.42,,76117.22,75010.39,81050.76,76416.02,,88668.92,88846.49
7,,82766.73,85483.55,,82714.43,73851.46,,80346.53,,,87714.35,88115.08
8,79378.54,81532.53,84984.61,,82956.05,72942.07,,79151.7,,86083.92,85620.14,
9,78863.54,80898.7,86371.41,83307.23,84265.49,,,78767.99,,86087.55,85641.22,
10,78200.57,,,84510.36,85861.2,,74862.38,76514.36,76436.36,83679.12,,85914.71
11,79365.44,,,85245.59,85220.24,72307.77,74398.55,,74656.51,82921.08,,86419.58
12,79349.12,,86900.43,85443.53,,72754.13,75856.23,,75124.81,,85524.7,86977.46
13,,,86383.85,84334.41,,72122.14,76594.36,77496.46,74686.68,,84914.11,87837.59
14,,83542.84,86050.96,,85232.18,71421.19,,78602.12,75429.1,,85973.06,87449.51
15,79752.37,84290.57,84928.2,,85130.42,70757.73,,77077.5,,83359.77,,
16,79831.76,84524.58,84886.49,82861.58,86536.97,,76652.59,76818.72,,85717.57,88515.27,
17,81189.16,,,84086.13,83621.95,,78130.3,76028.51,76788.86,85763.96,,86399.68
18,80962.65,,,85776.46,83081.88,69814.74,77362.64,,78313.97,83847.12,,86610.5
19,81219.5,84792.71,83913.06,85824.26,,71394.34,77486.84,,78168.66,84219.75,87900.84,85673.53
20,,85803.96,84163.8,85550.09,,72123.41,78571.29,76327.89,78116.02,,,85269.3
21,,86051.82,84976.59,,81815.32,70074.9,,75180.4,79444.29,,87268.8,85697.16
22,81675.42,86686.45,84767.88,,82738.88,70640.65,,76902.31,,85596.7,87477.44,
23,80678.35,87293.24,84377.19,85602.5,80867.29,,77996.12,75633.77,,85300.04,86230.23,
24,83680.0,,,85469.08,80122.31,,79154.99,76262.24,77984.19,83063.56,,
25,,,,85044.39,78897.66,70952.97,80218.05,,78630.15,84083.51,,
26,85530.84,87652.64,85087.86,86383.2,,71404.59,79405.34,,78656.16,85719.88,85546.51,85136.11
27,,86935.44,83808.06,86444.66,,70609.01,79866.11,77929.69,80000.09,,87891.18,85460.21
28,,85353.6,83874.14,,75355.84,71766.53,,77473.18,79342.43,,89250.83,87887.27
29,84698.01,,85365.56,,76071.97,72762.52,,78388.84,,83796.71,89709.57,
30,84482.46,,,86115.5,76753.61,,80275.6,76404.1,,86885.71,89504.03,
31,84912.7,,,,,,79220.44,76677.53,,87423.55,,
