Dia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
1,,,,,,,,,,,,
2,160538.69,182793.4,,,,,,,,,,
3,,185674.43,,,,,,,,,,
4,,181708.23,,,,,,,,,,
5,161869.76,182127.25,,,,,,,,,,
6,163663.88,182949.78,,,,,,,,,,
7,161975.24,,,,,,,,,,,
8,162936.48,,,,,,,,,,,
9,163370.31,186241.15,,,,,,,,,,
10,,185929.33,,,,,,,,,,
11,,189699.12,,,,,,,,,,
12,163150.35,187766.42,,,,,,,,,,
13,161973.05,186464.3,,,,,,,,,,
14,165145.98,,,,,,,,,,,
15,165568.32,,,,,,,,,,,
16,164799.98,,,,,,,,,,,
17,,,,,,,,,,,,
18,,186016.31,,,,,,,,,,
19,164849.27,188534.42,,,,,,,,,,
20,166276.9,190534.42,,,,,,,,,,
21,171816.67,,,,,,,,,,,
22,175589.35,,,,,,,,,,,
23,178858.54,188853.49,,,,,,,,,,
24,,191490.4,,,,,,,,,,
25,,191247.46,,,,,,,,,,
26,178720.68,191005.02,,,,,,,,,,
27,181919.13,188786.98,,,,,,,,,,
28,184691.05,,,,,,,,,,,
29,183133.75,,,,,,,,,,,
30,181363.9,,,,,,,,,,,
31,,,,,,,,,,,,
