Dia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
1,,,,131147.29,,,139549.43,132437.39,141283.01,145517.35,,158611.01
2,120125.39,,,131190.34,135133.88,136786.65,139050.93,,140335.16,143949.64,,161092.25
3,118532.68,125970.46,,131140.65,,137546.26,140927.86,,139863.63,144200.65,150454.24,161755.18
4,,125147.42,,127256.0,,137001.58,141263.56,132971.2,140993.25,,150704.2,164455.61
5,,125534.07,123046.85,,133491.23,136236.37,,133151.3,142640.14,,153294.44,157369.36
6,120021.52,126224.74,123357.55,,133515.82,136102.1,,134537.62,,143608.08,153338.63,
7,121162.66,124619.4,125034.63,125588.09,133397.52,,139489.7,136527.61,,141356.43,154063.53,
8,119624.51,,,123931.89,136231.9,,139302.85,135913.25,141791.58,142145.38,,158187.43
9,119780.56,,,127795.93,136511.88,135699.38,137480.79,,141618.29,141708.19,,157981.13
10,118856.48,125571.81,124519.38,126354.75,,136436.07,136743.26,,142348.7,140680.34,155257.31,159074.97
11,,126521.66,123507.35,127682.4,,137128.04,136187.31,135623.15,143150.84,,157748.6,159189.1
12,,124380.21,123863.5,,136563.18,137799.74,,137913.68,142271.58,,157632.9,160766.37
13,119006.93,124850.18,125637.11,,138963.11,137212.63,,136687.32,,141783.36,157162.43,
14,119298.67,128218.59,128957.09,129453.91,138422.84,,135298.99,136355.78,,141682.99,157738.69,
15,122650.2,,,129245.39,139334.38,,135250.1,136340.77,143546.58,142603.66,,162481.74
16,121234.14,,,128316.89,139187.39,139255.91,135510.99,,144061.74,142200.02,,158577.88
17,122350.38,128552.13,130833.96,129650.03,,138840.02,135564.74,,145593.63,143398.63,156992.93,157327.26
18,,128531.71,131474.73,,,138716.64,133381.58,137321.64,145499.49,,156522.13,157923.34
19,,127308.8,132508.45,,139636.41,,,134432.26,145865.11,,155380.66,158473.02
20,122855.15,127600.58,131954.9,,140109.63,137115.83,,134666.46,,144509.32,,
21,123338.34,127128.06,132344.88,,137881.27,,134166.72,134510.85,,144085.15,154770.1,
22,122971.77,,,130464.38,137272.59,,134035.72,137968.15,145109.25,144872.79,,158141.65
23,122483.32,,,132216.07,137824.29,136550.5,135368.27,,146424.94,145720.98,,160455.83
24,122446.94,125401.38,131321.44,134580.43,,137164.61,133807.59,,146491.75,146172.21,155277.56,
25,,125979.5,132067.69,134739.28,,135767.29,133524.18,138025.17,145306.23,,155910.18,
26,,124768.71,132519.63,,138136.14,137113.89,,137771.39,145446.66,,158554.94,160896.64
27,124861.5,124798.96,133148.75,,139541.23,136865.79,,139205.81,,146969.1,158359.76,
28,124055.5,122799.09,131902.18,135015.89,138887.81,,132129.26,141049.2,,147428.9,159072.13,
29,123432.12,,,135092.99,138533.7,,132725.68,141422.26,146336.8,148632.93,,160490.3
30,126912.78,,,135066.97,137026.62,138854.6,133989.74,,146237.02,148780.22,,161125.37
31,126134.94,,130259.54,,,,133071.05,,,149540.43,,
