Dia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
1,,128481.02,129180.37,126990.45,,,124718.07,127395.1,,132495.16,128120.75,
2,132696.63,127182.25,,127548.52,127122.25,,124787.08,125854.09,134906.07,133514.94,,125235.54
3,132833.95,,,127318.39,128508.67,122031.58,125661.89,,134353.48,131671.51,,126139.2
4,131225.91,,128340.54,127427.53,,121802.06,126163.98,,136110.73,131791.55,130514.79,126087.02
5,132022.92,127593.49,128098.11,126795.41,,121407.33,126267.05,125269.54,136502.49,,130660.75,127857.58
6,,130416.31,128890.23,,128465.69,122898.8,,126266.7,134572.45,,130340.92,125945.67
7,,129949.9,128339.76,,129210.48,120767.19,,127513.88,,132017.84,129681.7,
8,132426.54,128216.92,127070.79,128857.16,129480.89,,126548.34,128660.88,,131511.73,127829.8,
9,131446.59,128025.7,,129890.37,128188.34,,127108.22,130614.59,134737.21,129962.06,,127210.19
10,130841.09,,,128053.74,127599.57,120759.51,127218.24,,134319.58,130352.86,,128228.49
11,130648.75,,126123.56,127396.35,,121635.06,128293.61,,134676.75,129992.29,127873.7,129593.31
12,130987.67,,127667.84,125946.09,,119936.02,128896.98,131115.9,134029.43,,127698.32,126042.21
13,,,128006.05,,128154.79,119567.53,,132397.97,134881.95,,127733.88,124612.22
14,,127018.29,127689.97,,128515.49,119662.38,,133317.66,,131005.25,127791.6,
15,131520.91,127804.13,126741.81,125333.89,128027.59,,129320.96,134153.42,,131043.27,,
16,129294.04,128725.88,,124388.62,128283.62,,129110.38,133953.25,135118.22,131749.72,,123560.06
17,128523.83,,,124171.15,128150.71,119137.86,129450.32,,134960.19,130793.41,,124698.04
18,127315.74,,126954.18,124196.18,,119630.44,127652.06,,133747.69,130499.26,127768.19,120771.88
19,127635.65,129035.74,127528.85,125124.3,,120261.34,127616.46,135777.98,133122.67,,128197.25,121187.91
20,,129916.11,129124.83,,127750.92,120445.91,,136087.41,131065.44,,,122102.15
21,,130031.58,128158.57,,127411.55,121341.13,,136463.65,,130361.56,126922.11,
22,126601.55,130240.55,127027.1,125573.16,125650.03,,127859.63,135173.39,,129951.37,129125.51,
23,128262.52,129418.73,,125148.07,124729.4,,126589.84,135608.47,130568.37,129233.11,,120766.57
24,127815.7,,,124740.69,124305.57,122636.96,126422.73,,132155.76,130066.95,,
25,128168.73,,126931.47,124645.58,,122331.39,125954.09,,131586.45,129893.32,129036.1,
26,128967.32,129609.05,126863.02,126526.27,,122641.3,127492.49,136888.71,133009.78,,129922.38,121077.5
27,,131689.37,127690.62,,124495.68,124307.83,,136775.91,132730.36,,127668.61,120269.31
28,,130155.43,128106.1,,123779.54,123906.55,,137343.96,,131212.58,124610.41,
29,128502.66,129020.02,,127351.79,122707.28,,126953.86,136041.35,,130729.93,125667.83,
30,127401.81,,,125924.19,,,126139.21,136004.01,131816.44,130639.33,,120283.4
31,127752.28,,,,122098.09,,127651.81,,,129713.33,,
