Dia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
1,,64567.18,66809.8,,,53402.9,,56291.93,,59570.8,58382.68,
2,57829.27,64593.1,67781.6,65216.25,62423.56,,54692.79,55520.4,,59222.08,,
3,59264.87,65217.37,,64284.26,62104.15,,55780.32,57255.22,57281.45,58627.33,,58202.35
4,59364.95,,,63528.65,60820.93,53416.75,56076.82,,56233.9,58458.0,,57563.23
5,58546.08,,66964.03,63691.18,,52481.44,56379.06,,56863.91,58571.59,58209.76,57678.62
6,58600.37,65223.72,65114.15,,,54156.04,55394.05,58344.61,58321.24,,59458.59,57656.42
7,,65917.02,66016.76,,61220.43,,,57725.66,,,58517.35,58487.32
8,,65831.16,66908.39,,60365.48,54429.85,,58950.98,,59317.15,57524.45,
9,59082.88,65530.49,66703.96,62923.21,59786.12,,,58797.13,,58939.46,57357.71,
10,59805.96,63997.86,,61738.28,59702.05,,53705.82,59280.93,58404.1,58456.28,,59248.23
11,59962.4,,,61293.14,59445.21,54001.45,53569.14,,59422.55,59161.72,,59623.34
12,59920.78,,66384.76,63058.0,,55049.03,53420.87,,59921.8,,57064.31,59474.18
13,59146.58,65691.53,68394.33,62105.6,,55650.51,54330.51,59122.74,61958.12,,57486.07,59316.75
14,,65038.53,68257.22,,57539.61,55351.67,,58082.92,62105.47,,56279.36,59604.92
15,,65368.49,67749.49,,56237.97,56104.69,,58189.28,,59601.71,,
16,59956.46,66141.7,67684.13,61954.55,55887.57,,53401.8,59445.79,,59743.87,55402.33,
17,60645.9,66203.5,,62698.87,54038.2,,53909.47,59082.37,61805.98,60087.29,,59566.52
18,61722.86,,,63010.48,54513.16,56195.21,54583.13,,61804.33,59733.9,,60460.73
19,61926.69,,67730.31,62618.41,,57195.49,55346.65,,61651.83,58922.04,56450.86,60998.34
20,62312.13,,67295.56,62494.08,,57166.55,54194.79,59283.09,61687.97,,,61276.12
21,,,66860.05,,56590.24,55505.17,,58917.73,61320.07,,56242.12,61007.03
22,,66092.77,65828.19,,55038.75,55439.5,,59380.76,,58700.3,56436.97,
23,62386.24,65819.62,65812.95,61539.38,54619.48,,53033.96,58511.55,,57690.24,57574.03,
24,62486.22,65942.73,,61971.14,54063.0,,52638.63,58425.76,61909.99,57160.74,,
25,,,,61750.38,54463.16,53805.38,52607.54,,60501.1,57836.78,,
26,62953.06,,66684.59,62198.06,,53836.57,54002.72,,60478.05,57276.81,56737.1,60959.79
27,62904.2,65241.49,66037.35,61691.21,,53108.93,56553.12,58111.46,60239.79,,56248.09,60415.95
28,,65958.78,65079.34,,55212.69,52652.25,,58406.4,59175.8,,56539.4,60952.08
29,,65811.73,64871.99,,54633.06,54354.63,,57369.19,,57176.58,57852.53,
30,62770.01,,64510.97,61820.26,53797.91,,57240.92,57256.43,,57683.76,57474.57,
31,63072.31,,,,54490.41,,56097.05,57061.45,,57068.18,,
