Dia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
1,,,,50270.37,,,53171.49,55902.87,61141.27,52858.43,,52276.58
2,50341.25,,,51701.05,52980.31,51605.83,53028.78,,61895.98,53518.57,,51612.47
3,50981.09,46147.52,,51408.21,,52032.38,53874.58,,61837.04,54539.55,53947.21,52320.48
4,,46964.22,,51081.78,,51832.98,54055.9,56616.33,60800.02,,54383.59,51426.87
5,,46624.39,46589.0,,53446.17,51558.79,,56202.1,60681.98,,53698.42,51992.89
6,50973.62,47738.09,47093.13,,53779.74,53128.66,,56487.18,,57115.9,52637.06,
7,50430.02,48073.6,46244.07,52155.28,54052.74,,53801.83,56188.05,,57436.33,53222.85,
8,50576.64,,,51629.07,53422.37,,53634.69,55572.93,59192.75,57058.48,,50274.07
9,49321.68,,,51185.4,53100.34,54273.16,,,58676.34,57267.53,,50193.47
10,49696.45,47710.82,45533.2,51127.48,,54604.34,54592.75,,58198.66,55311.59,52725.38,49548.08
11,,48462.79,45697.62,51867.29,,55102.44,54785.93,56613.32,58337.29,,52474.27,49861.81
12,,48216.89,45861.81,,54052.9,,,56442.34,56927.81,,52978.89,48001.98
13,49426.9,47812.83,45443.83,,53907.46,54806.64,,55581.19,,57956.53,51846.03,
14,49703.1,48201.11,44965.66,51596.55,54412.54,,55743.98,55780.41,,58015.46,51772.4,
15,50105.37,,,50454.35,53855.54,,55973.61,56963.65,57948.76,56135.27,,47018.68
16,49696.28,,,51200.56,53975.76,54629.55,55717.36,,59114.66,54298.33,,47007.51
17,49181.86,47576.33,45117.8,52111.85,,54299.95,55637.51,,59108.19,55723.79,51256.99,48713.64
18,,46599.76,46150.96,,,55202.54,57012.9,57560.72,58374.48,,52061.86,48495.7
19,,47150.83,46567.23,,53353.1,,,58449.29,57788.7,,53402.81,49650.98
20,48708.41,47288.61,47278.48,,52366.19,54638.19,,58878.24,,54302.57,,
21,48542.07,47380.24,47380.94,,52203.37,,57633.92,58992.11,,52432.43,56084.04,
22,49299.66,,,51976.86,52806.22,,57983.32,58407.32,56818.11,52411.03,,50120.86
23,48320.64,,,51569.69,52626.41,54210.05,57419.96,,56540.5,50713.26,,50889.81
24,47787.38,47393.5,47993.42,51817.45,,54280.78,57977.56,,56824.42,51940.73,55406.91,
25,,46715.91,48180.14,51399.35,,53425.74,57821.08,59735.17,55962.08,,55560.81,
26,,46599.21,47965.61,,52932.91,53506.75,,59821.45,57212.38,,55098.47,50144.63
27,47701.05,47606.75,49646.79,,52173.98,53157.3,,60950.57,,50503.66,54721.32,
28,47840.93,47094.4,49768.06,51383.68,52639.75,,57695.72,60290.87,,52330.03,54724.0,
29,47556.78,,,51838.61,52239.34,,57118.81,61288.15,54625.35,51049.32,,50593.82
30,47244.26,,,51626.69,51239.34,53168.22,56877.97,,54115.98,52336.83,,50007.41
31,47638.99,,50414.92,,,,55829.41,,,54628.6,,
