Dia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
1,,64836.12,66988.87,,,62288.52,,66516.23,71923.11,,73823.74,72264.45
2,59588.7,64578.21,65854.93,,66721.74,62510.69,,67135.99,,74359.82,,
3,61813.83,64953.93,66785.53,65211.47,66093.78,,63279.58,66777.13,,76762.91,73915.42,
4,61589.05,,,65768.91,64862.6,,63231.59,66897.98,72128.83,76591.44,,73090.17
5,62070.98,,,64774.76,65709.73,62450.45,63154.17,,72150.87,76617.52,,72546.17
6,61665.36,63992.93,66341.36,64222.72,,62954.69,62470.33,,73412.41,76054.71,74310.79,73268.35
7,,64198.89,65742.32,64593.1,,63170.73,62322.4,67939.65,,,72414.87,72487.46
8,,64835.4,64718.01,,65526.04,62755.57,,67898.93,73078.85,,74363.13,72731.84
9,61700.29,64964.88,64585.23,,66277.67,62210.55,,67671.06,,75726.8,72930.69,
10,62131.8,66124.52,64675.46,64649.81,67349.72,,63025.46,66992.08,,76897.2,72165.63,
11,62446.26,,,64359.79,67537.61,,63832.15,67358.58,74319.21,76659.8,,72800.04
12,63953.93,,,63891.67,68221.94,61700.23,64835.55,,74538.55,,,73813.53
13,63651.51,66967.64,65534.3,62826.28,,61828.99,65178.34,,74787.56,76989.78,72475.17,72914.33
14,,66712.88,64699.46,,,61922.92,65436.17,68284.66,74656.68,,70826.59,72428.93
15,,67975.58,66234.87,,68474.18,,,68355.12,75756.51,,,72607.7
16,63831.27,67814.24,65782.85,,68684.49,61626.41,,68594.29,,76891.83,72511.79,
17,64354.33,67748.41,64209.93,64334.92,67540.25,,65212.31,67976.79,,76201.25,73437.28,
18,64149.57,,,64158.84,61597.05,,65337.66,68714.65,75990.4,76591.09,,73115.45
19,63950.86,,,63406.97,62639.3,62014.03,65179.92,,75974.18,76283.16,,72680.37
20,64521.18,68532.85,64884.26,63760.62,,60766.15,64938.01,,76004.15,76390.51,,73367.03
21,,69052.02,62980.37,,,60761.74,64684.18,68634.64,75604.34,,74594.61,75133.43
22,,68589.54,63521.33,,61673.49,61272.21,,70011.25,75389.75,,74518.79,75186.53
23,65748.62,67461.39,63530.78,,62662.48,61087.13,,70477.63,,75413.13,74486.58,
24,65840.09,66662.1,63853.77,64389.01,63257.35,,65099.55,71132.79,,76350.19,74157.37,
25,,,,65148.34,63226.78,,65667.62,71073.65,74443.47,76671.13,,
26,66190.62,,,64861.92,64085.41,62188.08,65010.57,,74318.72,75896.35,,75707.73
27,66033.98,,64308.38,64676.55,,61675.46,65277.38,,73796.71,75975.71,74058.92,76072.54
28,,,64640.45,65403.24,,62017.97,65497.12,71016.59,73567.24,,74139.72,76402.08
29,,,65528.28,,63760.94,62238.95,,71329.85,74293.5,,72700.45,
30,64301.73,,65265.98,,63962.26,62899.97,,70886.25,,74800.33,71970.99,
31,64670.78,,64984.06,,62711.47,,65920.36,70835.05,,74308.49,,
