Dia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
1,,66571.74,67227.93,71136.34,,61840.99,61236.2,,67072.53,70229.35,71560.93,69345.85
2,,67163.21,67779.16,,,62942.91,61429.79,68517.46,66808.08,,,69527.07
3,,67108.56,67641.34,,67119.41,,,67997.36,66678.62,,71904.77,69766.09
4,70045.08,63934.01,67814.71,,64869.32,61675.75,,68272.0,,70384.92,72995.69,
5,70239.82,62762.7,68846.5,71289.68,64914.17,,60865.27,68411.72,,71283.11,72606.58,
6,70729.34,,,71095.65,63414.22,,62064.75,68094.76,66747.3,70541.37,,69551.81
7,70451.12,,,70792.94,62870.88,61182.92,63283.8,,,69918.4,,69337.64
8,70262.7,63153.09,68575.47,71784.78,,61793.64,63476.32,,66407.28,70808.8,72657.37,68174.92
9,,64718.17,69576.38,71417.27,,61478.61,,67862.28,66624.1,,71679.47,67879.46
10,,65051.42,69979.28,,65452.68,63048.8,,67223.23,66806.79,,71638.38,68341.83
11,70433.49,66128.94,69884.61,,64424.89,63605.38,,65790.29,,70946.49,71195.16,
12,70075.78,65854.97,69341.38,70614.36,65223.63,,62960.1,65966.17,,,70367.15,
13,70385.47,,,70792.4,64788.22,,63685.56,66264.43,68030.58,71674.9,,69126.32
14,69801.42,,,71034.85,63412.47,63532.85,63479.46,,67691.85,71692.29,,68742.97
15,68978.3,,69023.75,70524.35,,64442.27,63489.37,,68106.85,71830.18,,67870.14
16,,,69942.21,69421.35,,64750.71,62339.27,66701.89,67662.99,,69192.41,67306.39
17,,67284.57,69723.24,,62866.26,64540.91,,67583.77,67089.12,,69708.63,67981.22
18,69400.93,67836.08,69697.33,,60841.08,64437.58,,67638.38,,71735.53,70781.4,
19,69908.59,67597.43,68828.98,69097.58,59689.32,,63297.04,66887.13,,69863.58,70897.9,
20,68200.07,,,69318.44,58192.08,,64462.5,66677.16,68190.46,70404.68,,67263.6
21,66270.14,,,,60259.33,64829.03,64476.84,,67719.13,69652.1,,68214.86
22,66220.04,67184.16,69041.73,69386.41,,64810.62,65748.1,,68325.18,69529.73,69632.5,68470.76
23,,66108.33,69386.72,69509.49,,65160.33,66322.99,65981.86,68794.32,,67952.55,68485.96
24,,65794.77,68913.4,,59915.14,63936.7,,65156.36,68196.48,,69629.36,
25,,66121.04,68441.66,,59184.08,64823.83,,64803.43,,69580.28,69361.63,
26,65523.73,66503.27,68682.66,68871.94,60190.36,,66443.26,63867.48,,70740.39,68226.1,
27,65069.79,,,66511.1,62091.77,,66674.44,65585.14,68815.97,70568.94,,67803.16
28,65587.81,,,66655.71,61946.99,64225.22,66808.25,,69227.63,70320.13,,68040.94
29,65401.77,,69939.12,67978.05,,61977.91,66953.83,,69228.24,70673.3,67908.18,68952.42
30,,,69959.58,67529.73,,60935.9,67515.4,64260.79,69429.78,,67705.4,69304.81
31,,,70371.54,,63046.51,,,65145.45,,,,
