DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,TOTNEG,QUATOT,VOLTOT,FATCOT,CODISI
2026-01-02,96,WHRL4F,20,WHIRLPOOL,PN,R$,4.7,4.7,4.63,4.67,4.64,92,872,4078.2,1,BRWHRLACNPR2
2026-01-02,96,WIZC3F,20,WIZ CO,ON  ED  NM,R$,9.0,9.0,8.77,8.84,8.8,1373,25110,222117.6,1,BRWIZCACNOR5
2026-01-02,96,WLMM3F,20,WLM IND COM,ON  ED,R$,20.99,21.0,20.42,20.79,20.98,6,26,540.63,1,BRWLMMACNOR6
2026-01-02,96,WLMM4F,20,WLM IND COM,PN  ED,R$,20.5,20.5,20.49,20.49,20.49,7,16,327.93,1,BRWLMMACNPR3
2026-01-02,96,YDUQ3F,20,YDUQS PART,ON  ED  NM,R$,12.4,12.4,11.96,12.16,12.25,301,4704,57221.88,1,BRYDUQACNOR3
2026-01-02,96,WHRL3F,20,WHIRLPOOL,ON,R$,4.4,4.5,4.32,4.36,4.32,56,581,2535.7,1,BRWHRLACNOR5
2026-01-02,96,BRSR6F,20,BANRISUL,PNB EJ  N1,R$,15.45,15.5,15.26,15.39,15.3,1268,16836,259227.52,1,BRBRSRACNPB4
2026-01-02,96,BRSR5F,20,BANRISUL,PNA EJ  N1,R$,17.51,18.63,17.51,17.73,18.63,5,20,354.68,1,BRBRSRACNPA6
2026-01-02,96,BRSR3F,20,BANRISUL,ON  EJ  N1,R$,16.89,17.66,16.7,16.89,16.7,236,2700,45627.25,1,BRBRSRACNOR3
2026-01-02,96,BBAS3F,20,BRASIL,ON      NM,R$,22.03,22.2,21.64,21.83,21.7,25569,247435,5401808.95,1,BRBBASACNOR3
2026-01-02,96,CAMB3F,20,CAMBUCI,ON,R$,9.77,10.12,9.77,9.95,9.98,49,394,3922.26,1,BRCAMBACNOR4
2026-01-02,96,CAML3F,20,CAMIL,ON      NM,R$,5.56,5.59,5.43,5.5,5.46,462,5885,32396.14,1,BRCAMLACNOR3
2026-01-02,96,CASH3F,20,MELIUZ,ON      NM,R$,3.9,3.94,3.76,3.83,3.78,652,9836,37678.12,1,BRCASHACNOR8
2026-01-02,96,CBAV3F,20,CBA,ON      NM,R$,7.18,7.28,6.93,7.03,7.1,348,5428,38194.58,1,BRCBAVACNOR5
2026-01-02,96,CBEE3F,20,AMPLA ENERG,ON  ES,R$,9.83,10.01,9.83,9.93,9.84,4,17,168.95,1,BRCBEEACNOR3
2026-01-02,96,CCTY3F,20,RDVC CITY,ON      NM,R$,12.0,12.0,11.45,11.75,11.75,17,79,928.65,1,BRCCTYACNOR7
2026-01-02,96,CEAB3F,20,CEA MODAS,ON  EJ  NM,R$,12.77,12.91,12.43,12.56,12.54,810,14024,176173.66,1,BRCEABACNOR1
2026-01-02,96,CSUD3F,20,CSU DIGITAL,ON  EDJ NM,R$,17.33,17.33,16.92,17.01,17.23,281,4058,69043.5,1,BRCSUDACNOR5
2026-01-02,96,CTAX3F,20,CONTAX,ON,R$,0.97,0.97,0.94,0.95,0.96,14,307,292.13,1,BRCTAXACNOR3
2026-01-02,96,CTKA4F,20,KARSTEN,PN,R$,38.5,38.5,38.5,38.5,38.5,1,35,1347.5,1,BRCTKAACNPR7
2026-01-02,96,CTSA4F,20,SANTANENSE,PN,R$,2.07,2.07,2.07,2.07,2.07,11,187,387.09,1,BRCTSAACNPR0
2026-01-02,96,CURY3F,20,CURY S/A,ON      NM,R$,32.39,32.56,31.21,31.65,31.31,700,9567,302836.7,1,BRCURYACNOR3
2026-01-02,96,CVCB3F,20,CVC BRASIL,ON      NM,R$,2.16,2.2,2.13,2.15,2.13,1020,12845,27672.87,1,BRCVCBACNOR1
2026-01-02,96,BBSE3F,20,BBSEGURIDADE,ON      NM,R$,36.2,36.54,35.78,36.14,35.78,10713,119295,4312156.23,1,BRBBSEACNOR5
2026-01-02,96,BPAN4F,20,BANCO PAN,PN      N1,R$,10.92,11.41,10.81,11.19,11.1,165,2474,27695.72,1,BRBPANACNPR1
2026-01-02,96,BRAP3F,20,BRADESPAR,ON  EDJ N1,R$,17.89,18.27,17.89,18.03,18.15,320,3325,59981.82,1,BRBRAPACNOR5
2026-01-02,96,BRAP4F,20,BRADESPAR,PN  EDJ N1,R$,19.92,20.07,19.86,19.94,20.0,1275,14599,291224.01,1,BRBRAPACNPR2
2026-01-02,96,CTSA3F,20,SANTANENSE,ON,R$,2.36,2.36,2.36,2.36,2.36,6,23,54.28,1,BRCTSAACNOR3
2026-01-02,96,SNSY3F,20,SANSUY,ON,R$,10.89,10.94,10.89,10.93,10.94,3,19,207.81,1,BRSNSYACNOR2
2026-01-02,96,SNSY5F,20,SANSUY,PNA,R$,2.84,3.04,2.17,2.28,2.17,4,58,132.56,1,BRSNSYACNPA5
2026-01-02,96,SOJA3F,20,BOA SAFRA,ON  EJB NM,R$,9.16,9.16,8.91,8.97,8.99,1223,19339,173643.47,1,BRSOJAACNOR9
2026-01-02,96,MYPK3F,20,IOCHP-MAXION,ON      NM,R$,10.09,10.12,9.72,9.82,9.78,1101,13052,128244.72,1,BRMYPKACNOR7
2026-01-02,96,MWET4F,20,WETZEL S/A,PN,R$,8.7,8.7,8.7,8.7,8.7,1,1,8.7,1,BRMWETACNPR3
2026-01-02,96,MBRF3F,20,MARFRIG,ON      NM,R$,19.91,19.93,19.02,19.27,19.33,1634,23156,446331.97,1,BRMBRFACNOR1
2026-01-02,96,MATD3F,20,MATER DEI,ON      NM,R$,5.39,5.39,5.1,5.23,5.2,107,1569,8209.18,1,BRMATDACNOR4
2026-01-02,96,MAPT4F,20,CEMEPE,PN,R$,3.02,3.02,3.02,3.02,3.02,1,10,30.2,1,BRMAPTACNPR5
2026-01-02,96,LWSA3F,20,LWSA,ON      NM,R$,4.25,4.31,4.1,4.18,4.19,309,4366,18251.96,1,BRLWSAACNOR8
